22:52:40 region Region(left=734, top=18, width=657, height=1198) locked=True state=GameState.IN_MATCH hand=[0, 4, 8, 6] elixir=10.0
22:52:44 region Region(left=734, top=18, width=657, height=1198) locked=True state=GameState.IN_MATCH hand=[0, 4, 8, 6] elixir=10.0
22:52:49 region Region(left=734, top=18, width=657, height=1198) locked=True state=GameState.IN_MATCH hand=[0, 4, 8, 6] elixir=10.0
22:52:53 region Region(left=734, top=18, width=657, height=1198) locked=True state=GameState.UNKNOWN hand=[1, -1, -1, -1] elixir=0.0
22:52:57 region Region(left=734, top=18, width=657, height=1172) locked=True state=GameState.UNKNOWN hand=[-1, -1, -1, -1] elixir=0.0
22:53:01 region Region(left=734, top=18, width=657, height=1163) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:05 region Region(left=734, top=18, width=657, height=1161) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:10 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:14 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:18 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:22 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:26 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:31 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:35 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:39 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:43 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:47 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:51 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:53:56 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:00 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:04 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:08 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:12 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:16 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:21 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:25 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:29 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:33 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:37 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:42 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:46 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:50 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:54 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:54:58 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:02 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:07 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:11 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:15 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:19 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:23 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:28 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:32 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:36 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:40 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:44 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:48 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:53 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:55:57 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:01 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:05 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:09 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:14 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:18 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:22 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:26 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:30 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:34 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:39 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:43 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:47 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:51 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:56:55 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:00 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:04 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:08 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:12 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:16 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:20 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:25 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:29 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:33 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:37 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:41 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:45 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:50 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:54 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:57:58 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:02 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:06 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:11 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:15 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:19 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:23 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:27 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:31 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:36 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:40 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:44 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:48 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:52 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:58:56 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:01 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:05 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:09 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:13 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:17 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:21 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:26 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:30 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:34 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
22:59:38 region Region(left=734, top=18, width=657, height=1160) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
