23:02:36 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:02:40 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:02:44 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:02:48 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:02:52 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:02:57 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:03:01 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:03:05 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[3, 5, -1, 0] elixir=10.0
23:03:09 region Region(left=694, top=0, width=657, height=1204) locked=True state=GameState.UNKNOWN hand=[1, -1, -1, -1] elixir=0.0
23:03:14 region Region(left=694, top=0, width=657, height=1185) locked=True state=GameState.MATCH_END hand=[-1, -1, -1, -1] elixir=0.0
23:03:18 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.UNKNOWN hand=[-1, -1, -1, -1] elixir=0.0
23:03:22 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=8.130303030303029
23:03:26 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=9.16060606060606
23:03:30 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:03:34 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:03:39 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:03:43 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:03:47 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:03:51 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:03:55 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:03:59 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:04:03 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:04:07 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
23:04:12 region Region(left=694, top=0, width=657, height=1216) locked=True state=GameState.IN_MATCH hand=[4, 1, 3, 8] elixir=10.0
