[1/211] 000YLY0JCPGL {'tag': '000YLY0JCPGL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 118, 'rejected': 0, 'delays': 0, 't': 294.6, 'secs': 0.22}
[2/211] 000YLY0PYYQY {'tag': '000YLY0PYYQY', 'error': None, 'crowns': [1, 1], 'expected': [0, 3], 'crowns_match': False, 'winner_match': False, 'accepted': 33, 'rejected': 0, 'delays': 2, 't': 300.1, 'secs': 0.09}
[3/211] 000YLY2UCC8C {'tag': '000YLY2UCC8C', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 36, 'rejected': 0, 'delays': 6, 't': 165.3, 'secs': 0.06}
[4/211] 000YLY2ULYLR {'tag': '000YLY2ULYLR', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 16, 'rejected': 1, 'delays': 0, 't': 76.5, 'secs': 0.03}
[5/211] 000YLY2UVGRL {'tag': '000YLY2UVGRL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 54, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.08}
[6/211] 000YLY2VQ92P {'tag': '000YLY2VQ92P', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 40, 'rejected': 0, 'delays': 4, 't': 149.4, 'secs': 0.06}
[7/211] 002YLLLP2YRR {'tag': '002YLLLP2YRR', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 58, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.09}
[8/211] 002YLLLP9JUR {'tag': '002YLLLP9JUR', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 55, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.07}
[9/211] 00GYPYP0PCLR {'tag': '00GYPYP0PCLR', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 1, 't': 179.0, 'secs': 0.14}
[10/211] 00GYPYPRQCY8 {'tag': '00GYPYPRQCY8', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 46, 'rejected': 2, 'delays': 4, 't': 180.1, 'secs': 0.09}
[11/211] 00GYPYPYUQQY {'tag': '00GYPYPYUQQY', 'error': None, 'crowns': [3, 0], 'expected': [3, 2], 'crowns_match': False, 'winner_match': True, 'accepted': 32, 'rejected': 0, 'delays': 0, 't': 133.6, 'secs': 0.1}
[12/211] 00JYPQQ8UCVL {'tag': '00JYPQQ8UCVL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 46, 'rejected': 0, 'delays': 0, 't': 188.2, 'secs': 0.06}
[13/211] 00JYPQQ9V8UY {'tag': '00JYPQQ9V8UY', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 48, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.06}
[14/211] 00JYPQYYV0JV {'tag': '00JYPQYYV0JV', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.13}
[15/211] 00LYPLCUGYJ2 {'tag': '00LYPLCUGYJ2', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.09}
[16/211] 00LYPLCV08L9 {'tag': '00LYPLCV08L9', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 53, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.05}
[17/211] 00LYPLCV92L0 {'tag': '00LYPLCV92L0', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 43, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.06}
[18/211] 00LYPLCVPJR9 {'tag': '00LYPLCVPJR9', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 4, 't': 171.8, 'secs': 0.1}
[19/211] 00LYPLCVQRVY {'tag': '00LYPLCVQRVY', 'error': None, 'crowns': [0, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 125, 'rejected': 0, 'delays': 0, 't': 300.1, 'secs': 0.19}
[20/211] 00LYPLCVRCCV {'tag': '00LYPLCVRCCV', 'error': None, 'crowns': [0, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': True, 'accepted': 98, 'rejected': 0, 'delays': 0, 't': 300.1, 'secs': 0.09}
[21/211] 00LYPLJLC80L {'tag': '00LYPLJLC80L', 'error': None, 'crowns': [0, 1], 'expected': [0, 1], 'crowns_match': True, 'winner_match': True, 'accepted': 93, 'rejected': 0, 'delays': 0, 't': 265.7, 'secs': 0.11}
