[1/211] 000YLY0JCPGL {'tag': '000YLY0JCPGL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 116, 'rejected': 0, 'delays': 0, 't': 291.0, 'secs': 0.2}
[2/211] 000YLY0PYYQY {'tag': '000YLY0PYYQY', 'error': None, 'crowns': [1, 1], 'expected': [0, 3], 'crowns_match': False, 'winner_match': True, 'accepted': 33, 'rejected': 0, 'delays': 2, 't': 300.1, 'secs': 0.08}
[3/211] 000YLY2UCC8C {'tag': '000YLY2UCC8C', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 33, 'rejected': 0, 'delays': 6, 't': 146.3, 'secs': 0.07}
[4/211] 000YLY2ULYLR {'tag': '000YLY2ULYLR', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 17, 'rejected': 1, 'delays': 0, 't': 78.1, 'secs': 0.05}
[5/211] 000YLY2UVGRL {'tag': '000YLY2UVGRL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 54, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.08}
[6/211] 000YLY2VQ92P {'tag': '000YLY2VQ92P', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 40, 'rejected': 0, 'delays': 4, 't': 150.6, 'secs': 0.04}
[7/211] 002YLLLP2YRR {'tag': '002YLLLP2YRR', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 58, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.07}
[8/211] 002YLLLP9JUR {'tag': '002YLLLP9JUR', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 55, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.07}
[9/211] 00GYPYP0PCLR {'tag': '00GYPYP0PCLR', 'error': None, 'crowns': [0, 1], 'expected': [0, 1], 'crowns_match': True, 'winner_match': True, 'accepted': 68, 'rejected': 0, 'delays': 1, 't': 223.3, 'secs': 0.14}
[10/211] 00GYPYPRQCY8 {'tag': '00GYPYPRQCY8', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 36, 'rejected': 2, 'delays': 4, 't': 155.1, 'secs': 0.09}
[11/211] 00GYPYPYUQQY {'tag': '00GYPYPYUQQY', 'error': None, 'crowns': [3, 0], 'expected': [3, 2], 'crowns_match': False, 'winner_match': True, 'accepted': 49, 'rejected': 0, 'delays': 0, 't': 175.2, 'secs': 0.15}
[12/211] 00JYPQQ8UCVL {'tag': '00JYPQQ8UCVL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 98, 'rejected': 0, 'delays': 0, 't': 298.3, 'secs': 0.11}
[13/211] 00JYPQQ9V8UY {'tag': '00JYPQQ9V8UY', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 48, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.06}
[14/211] 00JYPQYYV0JV {'tag': '00JYPQYYV0JV', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.16}
