tag,tick,side,threat_m,threat_c,own_side_threat,threat_tx,threat_ty,modal_p1_pull_band,corner_p1_pull_band,modal_p1_close_penalty,corner_p1_close_penalty,modal_p2_cover,corner_p2_cover,modal_p3_intercept,corner_p3_intercept,modal_p4_spell_frac,corner_p4_spell_frac,modal_p4_nado,corner_p4_nado,modal_p4_king_activation,corner_p4_king_activation,modal_p5_timing,corner_p5_timing,modal_p6_siege,corner_p6_siege,modal_p7_fragility,corner_p7_fragility,modal_sum,corner_sum
000YLY2ULYLR,952,1,pekka,pekka,1,14.5,17.7,0.5269,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.5269,1.5
000YLY2ULYLR,1041,1,pekka,pekka,1,14.5,21.0,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5
000YLY2ULYLR,1093,1,pekka,pekka,1,14.5,22.8,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5
000YLY2ULYLR,1203,1,pekka,pekka,1,14.4,22.9,0.6594,0.0,-0.0,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1594,1.5
002YLLLP9JUR,1414,1,hog_rider,hog_rider,1,2.6,22.4,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5
002YLLLP9JUR,3446,1,hog_rider,hog_rider,1,13.7,20.9,0.5,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.0
002YLLLP9JUR,3537,1,hog_rider,hog_rider,1,10.4,26.6,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
00LYPLCV08L9,1401,1,giant,giant,1,13.1,22.6,0.75,0.0,-0.0,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.25,1.5
00LYPLCV08L9,2437,1,giant,giant,1,13.6,16.5,0.75,0.0,-0.0,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.25,1.5
00LYPLCV08L9,2482,1,giant,giant,1,12.4,17.6,0.75,0.0,-0.0,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.25,1.5
