# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     807     0.323  0.524     0.152      2.0  0.416  0.362      592    0.255     0.144
p1_pull_band         ra     807     0.331  0.512     0.157      2.0  0.435  0.384      580    0.262     0.141
p1_close_penalty     pc     807     0.050  0.919     0.031      1.0  0.965  0.965       65   -0.012    -0.020
p1_close_penalty     ra     807     0.015  0.970     0.015      1.0  0.983  0.983       24   -0.004    -0.004
p2_cover             pc     807     0.540  0.299     0.161      9.0  0.482  0.482      784    0.652     0.426
p2_cover             ra     807     0.540  0.299     0.161      9.0  0.482  0.482      784    0.652     0.426
p3_intercept         pc     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     807     0.000  1.000     0.000      1.0  1.000  1.000      537    0.615     0.615
p5_timing            ra     807     0.000  1.000     0.000      1.0  1.000  1.000      537    0.615     0.615
p6_siege             pc     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra     807     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc     807     0.633  0.180     0.187      4.0  0.344  0.278      807    1.510     1.165
sum                  ra     807     0.633  0.171     0.196      4.0  0.341  0.280      807    1.525     1.177

[x-bow] n=543  threat present 390/543  top threats: [('-', 153), ('knight', 28), ('bowler', 22), ('inferno_dragon', 14)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     543     0.094  0.801     0.105      1.0  0.615  0.610      224    0.061     0.072
p1_pull_band         ra     543     0.098  0.779     0.123      1.0  0.637  0.630      217    0.066     0.076
p1_close_penalty     pc     543     0.017  0.967     0.017      1.0  0.982  0.982       18   -0.008    -0.004
p1_close_penalty     ra     543     0.007  0.989     0.004      1.0  0.996  0.996        6   -0.002    -0.002
p2_cover             pc     543     0.300  0.639     0.061     11.0  0.381  0.381      524    0.521     0.413
p2_cover             ra     543     0.300  0.639     0.061     11.0  0.381  0.381      524    0.521     0.413
p3_intercept         pc     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     543     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     543     0.000  1.000     0.000      1.0  1.000  1.000       87    0.119     0.119
p5_timing            ra     543     0.000  1.000     0.000      1.0  1.000  1.000      105    0.132     0.132
p6_siege             pc     543     0.018  0.087     0.895      9.0  0.068  0.068      543    0.655     0.967
