ice_wizard,knight,match,seed,skeletons,t,tesla,the_log,tornado,x_bow
6,5,0,1234,6,184.1,4,5,1,4
3,3,1,1234,3,125.4,3,1,1,2
5,4,2,1234,5,168.8,5,3,,3
7,8,3,1234,8,233.5,8,2,2,5
2,2,4,1234,2,93.8,1,1,1,2
3,4,5,1234,4,138.1,3,2,1,2
8,9,6,1234,9,237.9,8,6,1,4
9,9,7,1234,9,236.4,6,6,2,4
5,5,8,1234,5,168.6,4,2,1,3
9,9,9,1234,10,241.4,7,7,4,2
6,6,10,1234,7,180.1,6,4,1,2
5,6,11,1234,6,173.0,5,2,1,3
5,6,12,1234,6,180.1,4,4,,4
5,6,13,1234,6,180.1,6,4,,3
4,5,14,1234,6,188.7,5,5,1,5
6,7,15,1234,6,180.1,5,6,2,1
7,7,16,1234,7,180.1,5,6,,1
12,12,17,1234,14,300.1,10,9,3,7
3,3,18,1234,3,115.5,1,2,1,2
2,2,19,1234,2,68.7,2,1,1,
5,5,20,1234,5,161.6,4,3,1,2
7,7,21,1234,7,189.3,5,6,1,2
11,12,22,1234,13,271.9,11,11,2,2
6,6,23,1234,6,177.7,5,4,2,2
2,2,0,5678,2,80.9,1,1,,2
6,6,1,5678,6,180.1,5,4,,3
5,6,2,5678,6,180.1,5,3,,4
13,13,3,5678,13,300.1,11,10,1,6
5,5,4,5678,5,180.1,5,4,,4
4,4,5,5678,4,143.9,4,3,1,1
12,11,6,5678,12,266.1,8,9,4,3
12,12,7,5678,14,293.0,12,10,2,5
4,4,8,5678,4,148.3,4,3,2,1
13,12,9,5678,14,300.1,11,11,4,5
12,13,10,5678,14,300.1,14,10,,5
6,6,11,5678,6,180.1,5,3,,3
14,13,12,5678,14,300.1,13,9,,5
6,5,13,5678,6,168.3,6,5,2,
2,3,14,5678,2,108.4,2,1,,2
7,6,15,5678,7,180.1,5,4,3,1
7,6,16,5678,6,180.1,4,5,,3
4,4,17,5678,4,144.3,3,1,,3
6,6,18,5678,7,180.1,6,4,1,2
3,4,19,5678,4,135.1,3,2,1,2
11,11,20,5678,12,279.5,10,6,1,7
4,5,21,5678,5,157.7,3,3,,4
8,8,22,5678,8,213.7,7,6,1,2
6,5,23,5678,6,175.9,4,3,1,3
6,7,0,9012,7,180.1,5,5,,2
3,2,1,9012,3,98.0,3,2,1,
13,13,2,9012,13,300.1,13,11,,5
8,8,3,9012,8,198.4,6,6,1,1
6,6,4,9012,7,180.1,5,5,3,1
6,5,5,9012,6,180.1,5,3,,4
6,5,6,9012,7,180.1,6,6,2,1
4,5,7,9012,4,163.1,4,1,1,4
6,5,8,9012,5,180.1,4,3,,5
6,6,9,9012,7,180.1,5,5,1,2
8,7,10,9012,8,224.4,8,5,,4
5,6,11,9012,6,180.1,5,3,2,3
4,5,12,9012,5,145.7,3,3,,2
6,6,13,9012,5,180.1,5,2,1,3
3,2,14,9012,3,112.8,3,2,,1
6,5,15,9012,6,180.1,6,4,,3
5,6,16,9012,6,180.1,5,4,1,3
7,7,17,9012,7,203.6,5,4,1,4
7,6,18,9012,6,180.1,4,5,,3
6,6,19,9012,7,184.5,6,5,1,2
13,13,20,9012,15,300.1,11,12,3,4
14,13,21,9012,14,300.1,14,11,,4
5,5,22,9012,6,180.1,5,4,2,3
5,6,23,9012,7,180.1,6,4,1,2
