seed,match,t,card,base,kind,tx,ty,threat,d_threat,n_enemy_troops,bb_detected,bb_case,p1_pull_band,p1_close_penalty,p2_cover,p3_intercept,p4_spell_frac,p4_nado,p4_king_activation,p5_timing,p6_siege,p7_fragility,sum
1234,0,0.0,ice_wizard,ice_wizard,troop,1.5,18.0,,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1234,0,1.2,skeletons,skeletons,troop,9.5,31.33,hog_rider,16.77,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4187,0.0,0.0,0.9187
1234,0,3.6,the_log,the_log,spell,3.5,18.0,hog_rider,10.5,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1234,0,11.4,knight,knight,troop,14.5,19.33,,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1234,0,28.8,x_bow,x_bow,building,1.5,18.0,zappies,14.78,3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5
1234,0,36.6,ice_wizard,ice_wizard,troop,3.5,18.0,zappies,9.87,3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1234,0,39.6,skeletons,skeletons,troop,9.5,31.33,zappies,13.54,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1234,0,52.8,tesla,tesla,building,1.5,18.0,executioner,3.26,1,0.0,0.0,0.0482,0.0,0.5,0.0,0.0,0.0,0.0,0.4667,0.0,0.0,1.0148
1234,0,56.4,the_log,the_log,spell,3.5,18.0,executioner,2.5,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1234,0,64.8,knight,knight,troop,12.5,30.0,ronin,6.84,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1234,0,76.8,ice_wizard,ice_wizard,troop,1.5,18.0,hog_rider,12.49,1,0.0,0.0,0.0,0.0,0.4941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4941
1234,0,77.4,skeletons,skeletons,troop,9.5,31.33,hog_rider,12.05,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5
1234,0,90.6,tesla,tesla,building,12.5,18.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,0,103.8,x_bow,x_bow,building,14.5,18.0,zappies,1.78,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1234,0,111.0,the_log,the_log,spell,14.5,18.0,zappies,1.86,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
