tag,tick,sim_t,side,card,base,kind,pro_tx,pro_ty,threat,d_threat,threat_ra,n_enemy_troops,bb_detected,bb_case,n_cands,pc_pro_p1_pull_band,pc_lock_p1_pull_band,pc_rank_p1_pull_band,pc_ntie_p1_pull_band,pc_pro_p1_close_penalty,pc_lock_p1_close_penalty,pc_rank_p1_close_penalty,pc_ntie_p1_close_penalty,pc_pro_p2_cover,pc_lock_p2_cover,pc_rank_p2_cover,pc_ntie_p2_cover,pc_pro_p3_intercept,pc_lock_p3_intercept,pc_rank_p3_intercept,pc_ntie_p3_intercept,pc_pro_p4_spell_frac,pc_lock_p4_spell_frac,pc_rank_p4_spell_frac,pc_ntie_p4_spell_frac,pc_pro_p4_nado,pc_lock_p4_nado,pc_rank_p4_nado,pc_ntie_p4_nado,pc_pro_p4_king_activation,pc_lock_p4_king_activation,pc_rank_p4_king_activation,pc_ntie_p4_king_activation,pc_pro_p5_timing,pc_lock_p5_timing,pc_rank_p5_timing,pc_ntie_p5_timing,pc_pro_p6_siege,pc_lock_p6_siege,pc_rank_p6_siege,pc_ntie_p6_siege,pc_pro_p7_fragility,pc_lock_p7_fragility,pc_rank_p7_fragility,pc_ntie_p7_fragility,pc_pro_p1_snapshot,pc_lock_p1_snapshot,pc_rank_p1_snapshot,pc_ntie_p1_snapshot,pc_pro_p1_close_snapshot,pc_lock_p1_close_snapshot,pc_rank_p1_close_snapshot,pc_ntie_p1_close_snapshot,pc_pro_d_path,pc_lock_d_path,pc_rank_d_path,pc_ntie_d_path,pc_pro_sum,pc_lock_sum,pc_rank_sum,pc_ntie_sum,pc_best_cand,pc_pro_pcred,pc_lock_pcred,pc_rank_pcred,pc_ntie_pcred,pc_best_pcred,pc_pro_tcred,pc_lock_tcred,ra_pro_p1_pull_band,ra_lock_p1_pull_band,ra_rank_p1_pull_band,ra_ntie_p1_pull_band,ra_pro_p1_close_penalty,ra_lock_p1_close_penalty,ra_rank_p1_close_penalty,ra_ntie_p1_close_penalty,ra_pro_p2_cover,ra_lock_p2_cover,ra_rank_p2_cover,ra_ntie_p2_cover,ra_pro_p3_intercept,ra_lock_p3_intercept,ra_rank_p3_intercept,ra_ntie_p3_intercept,ra_pro_p4_spell_frac,ra_lock_p4_spell_frac,ra_rank_p4_spell_frac,ra_ntie_p4_spell_frac,ra_pro_p4_nado,ra_lock_p4_nado,ra_rank_p4_nado,ra_ntie_p4_nado,ra_pro_p4_king_activation,ra_lock_p4_king_activation,ra_rank_p4_king_activation,ra_ntie_p4_king_activation,ra_pro_p5_timing,ra_lock_p5_timing,ra_rank_p5_timing,ra_ntie_p5_timing,ra_pro_p6_siege,ra_lock_p6_siege,ra_rank_p6_siege,ra_ntie_p6_siege,ra_pro_p7_fragility,ra_lock_p7_fragility,ra_rank_p7_fragility,ra_ntie_p7_fragility,ra_pro_p1_snapshot,ra_lock_p1_snapshot,ra_rank_p1_snapshot,ra_ntie_p1_snapshot,ra_pro_p1_close_snapshot,ra_lock_p1_close_snapshot,ra_rank_p1_close_snapshot,ra_ntie_p1_close_snapshot,ra_pro_d_path,ra_lock_d_path,ra_rank_d_path,ra_ntie_d_path,ra_pro_sum,ra_lock_sum,ra_rank_sum,ra_ntie_sum,ra_best_cand,ra_pro_pcred,ra_lock_pcred,ra_rank_pcred,ra_ntie_pcred,ra_best_pcred,ra_pro_tcred,ra_lock_tcred
000YLY0JCPGL,435,21.8,1,tesla,tesla,building,9.0,21.0,archers,11.56,archers,3,0.0,0.0,26,0.5,0.0,1,3,0.0,0.0,1,26,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,5.0,1.5,15,3,1.5,0.5,1,2,tesla_modal,0.5,0.0,1,2,tesla_modal,0.0,0.0,1.0,0.0,1,3,0.0,0.0,1,26,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,5.0,1.5,15,3,2.0,0.5,1,2,tesla_modal,1.0,0.0,1,2,tesla_modal,0.0,0.0
000YLY0JCPGL,1531,76.6,1,tesla,tesla,building,9.0,18.0,,0.0,,3,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.4663,0.5,26,1,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.4663,0.5,26,1,centre,0.0,0.0,1,26,corner,0.0,0.0,0.0,0.0,1,26,0.0,0.0,1,26,0.4663,0.5,26,1,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.4663,0.5,26,1,centre,0.0,0.0,1,26,corner,0.0,0.0
000YLY0JCPGL,2192,109.6,1,x-bow,x_bow,building,15.5,19.5,,0.0,,0,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9616,1.0,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.4616,1.5,9,0,g9_18,0.9616,1.0,9,0,corner,0.0,0.0,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9616,1.0,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.4616,1.5,9,0,g9_18,0.9616,1.0,9,0,corner,0.0,0.0
000YLY0JCPGL,2696,134.8,1,x-bow,x_bow,building,15.5,19.5,,0.0,,0,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9616,1.0,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.4616,1.5,9,0,g9_18,0.9616,1.0,9,0,corner,0.0,0.0,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9616,1.0,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.4616,1.5,9,0,g9_18,0.9616,1.0,9,0,corner,0.0,0.0
000YLY0JCPGL,2795,139.8,1,tesla,tesla,building,17.0,25.0,goblinstein,7.3,goblinstein,3,0.0,0.0,26,0.0,0.0,6,21,-0.0,-0.0,1,21,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,8,19,-0.0,-0.0,1,23,5.2009,13.3579,22,0,1.5,1.5,12,12,tesla_modal,0.0,0.0,5,19,tesla_modal,1.0,1.0,0.0,0.0,8,19,-0.0,-0.0,1,22,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,8,19,-0.0,-0.0,1,23,5.2009,13.3579,22,0,1.5,1.5,12,12,tesla_modal,0.0,0.0,5,19,tesla_modal,1.0,1.0
000YLY0JCPGL,3261,163.1,1,tesla,tesla,building,8.0,19.0,archers,7.49,archers,5,0.0,0.0,26,0.1375,0.0,4,0,0.0,0.0,1,26,0.7692,0.5,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,7.225,12.1192,21,0,1.9067,1.5,11,0,g9_18,0.1216,0.0,4,0,g9_18,1.0,1.0,0.2417,0.0,6,0,0.0,0.0,1,26,0.7692,0.5,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,7.225,12.1192,21,0,2.0109,1.5,5,0,lane_R,0.2138,0.0,6,0,lane_R,1.0,1.0
000YLY0JCPGL,3711,185.6,1,tesla,tesla,building,10.0,21.0,archers,11.21,archers,5,0.0,0.0,26,0.0,0.0,4,23,0.0,0.0,1,26,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,4.0,12.5,20,0,1.0,0.5,3,6,tesla_modal,0.0,0.0,4,23,tesla_modal,0.0,0.0,1.0,0.0,1,3,0.0,0.0,1,26,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,4.0,12.5,20,0,2.0,0.5,1,2,tesla_modal,1.0,0.0,1,2,tesla_modal,0.0,0.0
000YLY0JCPGL,4185,209.3,1,x-bow,x_bow,building,5.5,22.5,,0.0,,0,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.7044,0.5,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,1.0,9,18,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.7044,1.5,17,0,g9_18,0.0,1.0,9,18,corner,0.0,0.0,0.0,0.0,1,26,0.0,0.0,1,26,0.7044,0.5,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,1.0,9,18,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.7044,1.5,17,0,g9_18,0.0,1.0,9,18,corner,0.0,0.0
000YLY0JCPGL,4386,219.3,1,tesla,tesla,building,14.0,23.0,goblinstein,2.96,goblinstein,5,0.0,0.0,26,0.0,0.0,6,21,-1.0,-0.0,27,0,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,0.0,1,2,-0.0,-0.0,1,22,0.0,12.0517,27,0,0.5,1.5,27,0,g9_18,-0.3,0.0,25,2,g9_18,1.0,1.0,0.0861,0.0,7,0,-1.0,-0.0,27,0,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,0.0,1,3,-0.0,-0.0,1,23,0.0,12.0517,27,0,0.5861,1.5,27,0,corner_R,-0.2354,0.0,26,0,corner_R,1.0,1.0
000YLY0JCPGL,4752,237.6,1,x-bow,x_bow,building,8.5,21.5,goblinstein,16.4,goblinstein,7,0.0,0.0,26,1.0,0.0,1,3,-0.0,-0.0,1,19,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,1.0,9,18,0.0,0.0,1,26,0.0,0.0,1,26,-0.0,-0.0,1,26,5.4,12.4,12,1,2.0,1.5,2,2,g9_18,1.0,1.0,1,7,corner,0.0,0.0,1.0,0.0,1,4,-0.0,-0.0,1,20,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,1.0,9,18,0.0,0.0,1,26,0.0,0.0,1,26,-0.0,-0.0,1,26,5.4,12.4,12,1,2.0,1.5,3,3,g9_18,1.0,1.0,1,8,corner,0.0,0.0
000YLY0JCPGL,5111,255.6,1,tesla,tesla,building,12.0,24.0,archers,9.84,archers,5,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9562,0.5,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,5,22,0.0,0.0,1,26,3.8012,2.7633,16,0,1.9562,1.5,9,0,centre,0.0,0.0,1,26,corner,1.0,1.0,0.0,0.6094,7,20,0.0,0.0,1,26,0.9562,0.5,9,0,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.6094,9,18,0.0,0.0,1,26,3.8012,2.7633,16,0,1.9562,2.1094,13,0,g3_22,0.0,0.4571,7,20,g3_22,1.0,1.0
000YLY0JCPGL,5363,268.2,1,tesla,tesla,building,10.0,21.0,goblinstein,6.43,goblinstein,10,0.0,0.0,26,0.0,0.0,3,24,0.0,0.0,1,26,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.4121,0.0,3,0,0.0,0.0,1,26,4.3402,13.0106,19,0,2.0,1.5,3,7,tesla_modal,0.0,0.0,3,24,tesla_modal,1.0,1.0,1.0,0.0,1,2,-0.0,-0.0,1,20,1.0,0.5,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.801,0.0,6,0,-0.0,-0.0,1,25,4.3402,13.0106,19,0,3.0,1.5,1,1,tesla_modal,1.0,0.0,1,1,tesla_modal,1.0,1.0
000YLY0JCPGL,5606,280.3,1,tesla,tesla,building,17.0,24.0,goblinstein,7.61,goblinstein,6,0.0,0.0,26,0.0,0.0,12,15,-0.0,-0.0,1,23,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,12,15,-0.0,-0.0,1,26,7.5898,7.7462,10,0,1.5,1.5,14,12,centre,0.0,0.0,11,15,centre,1.0,1.0,0.0,0.0,12,15,-0.0,-0.0,1,23,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,12,15,-0.0,-0.0,1,26,7.5898,7.7462,10,0,1.5,1.5,14,12,centre,0.0,0.0,11,15,centre,1.0,1.0
000YLY0PYYQY,467,23.4,1,tesla,tesla,building,6.0,18.0,princess,4.05,princess,1,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.4364,0.4364,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,3,24,0.0,0.0,1,26,2.0,1.5,20,0,0.9364,0.9364,9,17,centre,0.0,0.0,1,26,corner,0.4364,0.4364,0.0,0.0,4,23,0.0,0.0,1,26,0.5,0.5,9,17,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.4364,0.4364,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.3526,0.3526,5,1,0.0,0.0,1,26,2.0,1.5,20,0,0.9364,0.9364,10,17,tesla_modal,0.0,0.0,4,23,tesla_modal,0.4364,0.4364
000YLY0PYYQY,689,34.5,1,x-bow,x_bow,building,3.5,19.5,,0.0,,1,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.5,1.5,2,7,g9_18,1.0,1.0,1,8,corner,0.0,0.0,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.5,1.5,2,7,g9_18,1.0,1.0,1,8,corner,0.0,0.0
