tag,tick,side,threat_m,threat_c,own_side_threat,threat_tx,threat_ty,modal_p1_pull_band,corner_p1_pull_band,modal_p1_close_penalty,corner_p1_close_penalty,modal_p2_cover,corner_p2_cover,modal_p3_intercept,corner_p3_intercept,modal_p4_spell_frac,corner_p4_spell_frac,modal_p4_nado,corner_p4_nado,modal_p4_king_activation,corner_p4_king_activation,modal_p5_timing,corner_p5_timing,modal_p6_siege,corner_p6_siege,modal_p7_fragility,corner_p7_fragility,modal_p1_snapshot,corner_p1_snapshot,modal_p1_close_snapshot,corner_p1_close_snapshot,modal_d_path,corner_d_path,modal_sum,corner_sum,modal_pcred,corner_pcred
000YLY2ULYLR,952,1,pekka,pekka,1,14.5,17.7,0.9971,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5269,0.0,-0.0,-0.0,5.0057,12.5089,2.9971,1.5,0.9971,0.0
000YLY2ULYLR,1041,1,pekka,pekka,1,14.5,21.0,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.0058,12.7494,2.0,1.5,0.0,0.0
000YLY2ULYLR,1093,1,pekka,pekka,1,14.5,22.8,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.2995,13.2052,2.0,1.5,0.0,0.0
000YLY2ULYLR,1203,1,pekka,pekka,1,14.4,22.9,1.0,0.0,-0.0,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8791,0.0,-0.0,-0.0,4.8248,12.0861,2.5,1.5,0.75,0.0
002YLLLP9JUR,1414,1,hog_rider,hog_rider,1,2.6,22.4,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.0719,3.5599,2.0,1.5,0.0,0.0
002YLLLP9JUR,3446,1,hog_rider,hog_rider,1,13.7,20.9,1.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,3.4889,11.2366,2.0,1.0,0.5,0.0
002YLLLP9JUR,3537,1,hog_rider,hog_rider,1,10.4,26.6,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.2479,11.5139,1.0,1.0,0.0,0.0
00LYPLCV08L9,1401,1,giant,giant,1,13.1,22.6,0.0,0.0,-0.9537,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,0.1018,7.1158,0.5463,1.5,-0.3,0.0
00LYPLCV08L9,2437,1,giant,giant,1,13.6,16.5,1.0,0.0,-0.0,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,2.2493,10.1516,2.5,1.5,0.75,0.0
00LYPLCV08L9,2482,1,giant,giant,1,12.4,17.6,0.0,0.0,-0.9092,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,0.1997,6.7801,0.5908,1.5,-0.3,0.0
00LYPLCV08L9,2514,1,giant,giant,1,10.9,18.2,0.0035,1.0,-0.9059,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2737,-0.0,-0.0,0.2069,6.7801,0.5975,2.5,-0.2974,0.75
00LYPLCV08L9,2546,1,giant,giant,1,10.3,19.1,0.0014,0.0,-0.9078,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8077,0.0,-0.1748,-0.0,0.2029,6.7801,0.5936,1.5,-0.2989,0.0
00LYPLCV08L9,2673,1,giant,giant,1,8.0,21.2,0.1341,0.0,-0.7871,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1341,0.0,-0.7871,-0.0,0.4683,5.9563,0.847,1.5,-0.1994,0.0
00LYPLCV08L9,2732,1,giant,giant,1,8.4,20.7,0.0,0.0,-0.9153,-0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9153,-0.0,0.1863,5.8973,0.5847,1.5,-0.3,0.0
00LYPLCV08L9,3103,1,giant,giant,1,2.7,17.1,1.0,0.1909,-0.0,-0.7355,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5647,-0.0,-0.3957,6.1708,0.5819,2.5,0.9554,0.75,-0.1568
00LYPLCV08L9,3142,1,giant,giant,1,2.7,17.1,1.0,0.1909,-0.0,-0.7355,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5647,-0.0,-0.3957,6.1708,0.5819,2.5,0.9554,0.75,-0.1568
00LYPLCVPJR9,1001,1,giant,giant,0,2.8,15.0,1.0,0.9549,-0.0,-0.041,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.2222,0.0,0.0,0.0,0.0,0.6585,1.0,-0.0,-0.0,4.2434,2.1099,2.2222,1.6362,1.0,0.6752
00LYPLCVPJR9,1131,1,giant,giant,1,3.4,17.4,1.0,0.7405,-0.0,-0.2359,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7412,-0.0,-0.2353,4.2434,1.6811,3.0,2.0046,1.0,0.3195
00LYPLCVPJR9,2585,1,giant,giant,0,11.5,0.8,1.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.0,12.5,1.5,0.0,0.75,0.0
00LYPLCVPJR9,2675,1,giant,giant,0,11.9,3.4,1.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.0,12.5,1.5,0.0,0.75,0.0
00LYPLCVPJR9,2786,1,giant,giant,0,12.4,7.4,1.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.0,12.5,1.5,0.0,0.75,0.0
00LYPLCVPJR9,2826,1,giant,giant,0,12.6,10.5,1.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.0,12.5,1.5,0.0,0.75,0.0
00LYPLCVPJR9,2875,1,giant,giant,0,13.0,12.9,1.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.0,12.2483,1.5,0.0,0.75,0.0
00LYPLCVPJR9,3072,1,giant,giant,1,11.1,20.3,0.7463,0.0,-0.2306,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7463,0.0,-0.2306,-0.0,1.6926,9.2307,2.0157,1.0,0.3291,0.0
00LYPLCVPJR9,3315,1,giant,giant,1,8.4,25.9,0.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.432,9.6508,1.5,1.0,0.0,0.0
00LYPLCVPJR9,3396,1,giant,giant,1,8.6,25.9,0.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.3868,9.7013,1.5,1.0,0.0,0.0
00LYPLJLC80L,193,1,hog_rider,hog_rider,1,16.0,17.5,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.7163,13.5425,2.0,1.5,0.0,0.0
00LYPLJLC80L,419,1,hog_rider,hog_rider,1,14.9,23.4,0.0,0.0,-0.0,-0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.8433,13.743,2.0,1.5,0.0,0.0
00LYPLJLC80L,1161,1,hog_rider,hog_rider,1,1.8,17.0,0.0,0.1323,-0.0,-0.9641,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6317,-0.0,-0.4092,5.7866,0.0646,2.0,0.6681,0.0,-0.2008
