[engine_ppo] config {"cell_ent": 0.05, "cell_ent_anneal": 3000, "cell_ent_floor": 0.008, "clip": 0.2, "decision_ticks": 10, "deck": ["tornado", "tesla", "tesla_evo", "ice_wizard", "x_bow", "rocket", "knight", "knight_evo", "the_log", "skeletons"], "ent": 0.02, "epochs": 4, "gamma": 0.994, "gate_prior_coef": 2.0, "gate_prior_path": "C:\\Users\\benpe\\ClashBot\\icebow\\config\\gate_prior.json", "head_norm_mult": 2.0, "init": "C:\\Users\\benpe\\ClashBot\\icebow\\data\\bc_pro\\models\\bc_bias_native_s0.pt", "init_sha256_prefix": "a1273d5d", "kl_coef": 0.0, "kl_in_warmup": 0, "lam": 0.95, "log": "C:\\Users\\benpe\\ClashBot\\scratchpad\\gauntlet\\L62/engB_ctrl_20260905.log", "lr": 0.00025, "matches": 2000, "max_grad": 0.5, "minibatch": 512, "out_prefix": "C:/Users/benpe/ClashBot/icebow/data/bench/engB_ctrl", "pid": 71976, "pool": "C:\\Users\\benpe\\ClashBot\\icebow\\data\\ghost_pool\\pool_env_v0.jsonl", "pool_size": 477, "port": 38031, "reward_spec": "r_t = w_hp * (their_tower_hp_lost - our_tower_hp_lost) / princess_max_hp + w_crown * (d_our_crowns - d_their_crowns) + [terminal] w_outcome * (+1 win / -1 loss / 0 draw).  UNSHAPED.", "rollout": 1024, "save_every": 250, "seed": 41, "threads": 2, "torch": "2.11.0+cu128", "value_head": "fresh (seeded); the init's own value head is c2r's sim critic and is discarded, as bcA's --init did", "value_warmup": 60, "vf_coef": 0.5}
[engine_ppo] saved engB_ctrl_m0.pt (+ _latest) at matches=0 updates=0
[engine_ppo] init check: card_head |w| 4.643  cell_conv[-1] |w| 0.723  value head fresh |w| 0.591  ref frozen  kl_coef 0.0
[engine_ppo] GATE PRIOR ON coef 2.000 | C:\Users\benpe\ClashBot\icebow\config\gate_prior.json schema 1 (519 replays, 23620 plays, dt 0.6) | double from 120s, triple from 240s | single P(play) at 4 / 7 / 9 elixir = 0.0580 / 0.0426 / 0.2033
[upd    1] m=    2 dec=   1024 | win ep_r -0.952 (last50 -0.952) WLD 1/1/0 cum 1/1/0 len 191s | pl +0.0370 vl 0.6677 ent 0.272 cell_ent 3.704 kl_cell 0.1195 kl_card 0.0018 kl_term +0.0000 clip 0.238 vpred +1.609 ret +1.638 | last-epoch pl +0.0297 kl_cell 0.2368 kl_term +0.0000 | raw_p99 6.33 max 24.1 | p_play 0.099 | s/match 6.81 roll 18.8s (pol 3.0s) upd 7.9s warm_mb 8 cell_coef 0.0500 elapsed 0.4m | GATE p_gate 0.2157 p90 0.3815 frac_gt_tau 0.3208 (n 452) gp_ce 0.5050 gp_target 0.0784 gp_rows 0.441
[upd    2] m=    4 dec=   2048 | win ep_r -0.547 (last50 -0.750) WLD 1/1/0 cum 2/2/0 len 245s | pl +0.0179 vl 0.3488 ent 0.365 cell_ent 3.566 kl_cell 0.3547 kl_card 0.0249 kl_term +0.0000 clip 0.151 vpred +1.352 ret +1.246 | last-epoch pl +0.0141 kl_cell 0.5956 kl_term +0.0000 | raw_p99 8.93 max 29.2 | p_play 0.101 | s/match 13.04 roll 19.3s (pol 2.8s) upd 7.5s warm_mb 8 cell_coef 0.0499 elapsed 0.9m | GATE p_gate 0.1306 p90 0.2455 frac_gt_tau 0.0995 (n 744) gp_ce 0.3493 gp_target 0.0957 gp_rows 0.727
[upd    3] m=    7 dec=   3072 | win ep_r -6.577 (last50 -3.247) WLD 0/3/0 cum 2/5/0 len 173s | pl +0.0177 vl 0.7531 ent 0.276 cell_ent 3.067 kl_cell 0.6531 kl_card 0.0932 kl_term +0.0000 clip 0.119 vpred +0.953 ret +0.697 | last-epoch pl +0.0139 kl_cell 0.7843 kl_term +0.0000 | raw_p99 10.88 max 25.2 | p_play 0.064 | s/match 8.49 roll 18.8s (pol 2.8s) upd 7.2s warm_mb 8 cell_coef 0.0499 elapsed 1.3m | GATE p_gate 0.0831 p90 0.1695 frac_gt_tau 0.0193 (n 880) gp_ce 0.3752 gp_target 0.0975 gp_rows 0.859
[upd    4] m=   11 dec=   4096 | win ep_r -6.839 (last50 -4.553) WLD 0/4/0 cum 2/9/0 len 170s | pl +0.0140 vl 0.7882 ent 0.249 cell_ent 2.258 kl_cell 0.9643 kl_card 0.1306 kl_term +0.0000 clip 0.047 vpred +0.223 ret -0.065 | last-epoch pl +0.0168 kl_cell 1.0094 kl_term +0.0000 | raw_p99 15.08 max 33.5 | p_play 0.054 | s/match 7.75 roll 18.2s (pol 2.8s) upd 7.2s warm_mb 8 cell_coef 0.0498 elapsed 1.7m | GATE p_gate 0.0591 p90 0.1319 frac_gt_tau 0.0041 (n 964) gp_ce 0.4435 gp_target 0.1338 gp_rows 0.941
[upd    5] m=   14 dec=   5120 | win ep_r -3.736 (last50 -4.378) WLD 1/2/0 cum 3/11/0 len 178s | pl +0.0412 vl 0.8429 ent 0.398 cell_ent 2.400 kl_cell 1.1162 kl_card 0.1545 kl_term +0.0000 clip 0.168 vpred -0.222 ret -0.224 | last-epoch pl +0.0379 kl_cell 1.1280 kl_term +0.0000 | raw_p99 13.99 max 32.4 | p_play 0.073 | s/match 8.88 roll 19.2s (pol 2.9s) upd 7.9s warm_mb 8 cell_coef 0.0498 elapsed 2.2m | GATE p_gate 0.0791 p90 0.1607 frac_gt_tau 0.0193 (n 982) gp_ce 0.3452 gp_target 0.0978 gp_rows 0.959
[upd    6] m=   19 dec=   6144 | win ep_r -8.505 (last50 -5.464) WLD 0/5/0 cum 3/16/0 len 109s | pl +0.0091 vl 1.1143 ent 0.197 cell_ent 2.497 kl_cell 1.1648 kl_card 0.2672 kl_term +0.0000 clip 0.048 vpred -0.929 ret -1.354 | last-epoch pl +0.0098 kl_cell 1.1957 kl_term +0.0000 | raw_p99 13.42 max 21.8 | p_play 0.054 | s/match 5.61 roll 19.9s (pol 2.9s) upd 7.1s warm_mb 8 cell_coef 0.0497 elapsed 2.7m | GATE p_gate 0.0563 p90 0.1126 frac_gt_tau 0.0000 (n 920) gp_ce 0.3156 gp_target 0.0882 gp_rows 0.898
[upd    7] m=   23 dec=   7168 | win ep_r -6.520 (last50 -5.648) WLD 0/4/0 cum 3/20/0 len 125s | pl +0.0244 vl 0.8568 ent 0.332 cell_ent 2.466 kl_cell 1.3994 kl_card 0.2192 kl_term +0.0000 clip 0.259 vpred -1.447 ret -1.329 | last-epoch pl +0.0208 kl_cell 1.4269 kl_term +0.0000 | raw_p99 15.62 max 20.8 | p_play 0.063 | s/match 6.17 roll 18.5s (pol 2.8s) upd 7.3s warm_mb 8 cell_coef 0.0497 elapsed 3.1m | GATE p_gate 0.0591 p90 0.1148 frac_gt_tau 0.0032 (n 951) gp_ce 0.3365 gp_target 0.0885 gp_rows 0.929
[upd    8] m=   26 dec=   8192 | win ep_r -7.746 (last50 -5.890) WLD 0/3/0 cum 3/23/0 len 137s | pl +0.0034 vl 0.6989 ent 0.232 cell_ent 2.359 kl_cell 0.9079 kl_card 0.3156 kl_term +0.0000 clip 0.043 vpred -1.529 ret -1.616 | last-epoch pl +0.0020 kl_cell 0.8922 kl_term +0.0000 | raw_p99 16.54 max 27.3 | p_play 0.053 | s/match 7.13 roll 18.1s (pol 2.8s) upd 7.2s warm_mb 4 cell_coef 0.0496 elapsed 3.5m | GATE p_gate 0.0526 p90 0.1028 frac_gt_tau 0.0000 (n 1013) gp_ce 0.3338 gp_target 0.0892 gp_rows 0.989
[upd    9] m=   29 dec=   9216 | win ep_r -3.010 (last50 -5.592) WLD 1/2/0 cum 4/25/0 len 181s | pl +0.0175 vl 0.4987 ent 0.331 cell_ent 2.403 kl_cell 1.0032 kl_card 0.3353 kl_term +0.0000 clip 0.077 vpred -1.908 ret -1.890 | last-epoch pl +0.0163 kl_cell 0.9809 kl_term +0.0000 | raw_p99 15.98 max 28.0 | p_play 0.058 | s/match 8.25 roll 17.6s (pol 2.8s) upd 7.4s warm_mb 0 cell_coef 0.0496 elapsed 3.9m | GATE p_gate 0.0575 p90 0.1191 frac_gt_tau 0.0010 (n 994) gp_ce 0.3636 gp_target 0.1110 gp_rows 0.971
[upd   10] m=   32 dec=  10240 | win ep_r -6.916 (last50 -5.716) WLD 0/3/0 cum 4/28/0 len 157s | pl +0.0163 vl 0.3398 ent 0.343 cell_ent 2.653 kl_cell 0.9561 kl_card 0.2460 kl_term +0.0000 clip 0.054 vpred -1.984 ret -1.995 | last-epoch pl +0.0143 kl_cell 0.9747 kl_term +0.0000 | raw_p99 17.08 max 25.2 | p_play 0.063 | s/match 8.02 roll 18.2s (pol 2.7s) upd 7.4s warm_mb 0 cell_coef 0.0496 elapsed 4.3m | GATE p_gate 0.0664 p90 0.1262 frac_gt_tau 0.0100 (n 996) gp_ce 0.3584 gp_target 0.1169 gp_rows 0.973
[upd   11] m=   35 dec=  11264 | win ep_r -2.039 (last50 -5.401) WLD 1/2/0 cum 5/30/0 len 184s | pl +0.0281 vl 0.3571 ent 0.278 cell_ent 2.542 kl_cell 1.1930 kl_card 0.1891 kl_term +0.0000 clip 0.067 vpred -2.266 ret -2.264 | last-epoch pl +0.0209 kl_cell 1.1527 kl_term +0.0000 | raw_p99 17.13 max 28.7 | p_play 0.063 | s/match 11.30 roll 28.9s (pol 4.2s) upd 11.7s warm_mb 0 cell_coef 0.0495 elapsed 5.0m | GATE p_gate 0.0700 p90 0.1236 frac_gt_tau 0.0130 (n 921) gp_ce 0.3567 gp_target 0.1085 gp_rows 0.899
[upd   12] m=   39 dec=  12288 | win ep_r -0.806 (last50 -4.930) WLD 2/2/0 cum 7/32/0 len 157s | pl +0.0300 vl 0.7443 ent 0.334 cell_ent 2.639 kl_cell 1.0162 kl_card 0.2400 kl_term +0.0000 clip 0.178 vpred -1.326 ret -1.237 | last-epoch pl +0.0241 kl_cell 1.0434 kl_term +0.0000 | raw_p99 17.83 max 35.5 | p_play 0.064 | s/match 11.10 roll 27.7s (pol 4.6s) upd 11.6s warm_mb 0 cell_coef 0.0495 elapsed 5.7m | GATE p_gate 0.0692 p90 0.1312 frac_gt_tau 0.0117 (n 937) gp_ce 0.4086 gp_target 0.1181 gp_rows 0.915
