[engine_ppo] config {"cell_ent": 0.05, "cell_ent_anneal": 3000, "cell_ent_floor": 0.008, "clip": 0.2, "decision_ticks": 10, "deck": ["tornado", "tesla", "tesla_evo", "ice_wizard", "x_bow", "rocket", "knight", "knight_evo", "the_log", "skeletons"], "ent": 0.02, "epochs": 4, "gamma": 0.994, "gate_prior_coef": 2.0, "gate_prior_path": "C:\\Users\\benpe\\ClashBot\\icebow\\config\\gate_prior.json", "head_norm_mult": 2.0, "init": "C:\\Users\\benpe\\ClashBot\\icebow\\data\\bc_pro\\models\\bc_bias_native_s0.pt", "init_sha256_prefix": "a1273d5d", "kl_coef": 0.3, "kl_in_warmup": 0, "lam": 0.95, "log": "C:\\Users\\benpe\\ClashBot\\scratchpad\\gauntlet\\L62/engB_kl_20260905.log", "lr": 0.00025, "matches": 2000, "max_grad": 0.5, "minibatch": 512, "out_prefix": "C:/Users/benpe/ClashBot/icebow/data/bench/engB_kl", "pid": 46364, "pool": "C:\\Users\\benpe\\ClashBot\\icebow\\data\\ghost_pool\\pool_env_v0.jsonl", "pool_size": 477, "port": 38032, "reward_spec": "r_t = w_hp * (their_tower_hp_lost - our_tower_hp_lost) / princess_max_hp + w_crown * (d_our_crowns - d_their_crowns) + [terminal] w_outcome * (+1 win / -1 loss / 0 draw).  UNSHAPED.", "rollout": 1024, "save_every": 250, "seed": 41, "threads": 2, "torch": "2.11.0+cu128", "value_head": "fresh (seeded); the init's own value head is c2r's sim critic and is discarded, as bcA's --init did", "value_warmup": 60, "vf_coef": 0.5}
[engine_ppo] saved engB_kl_m0.pt (+ _latest) at matches=0 updates=0
[engine_ppo] init check: card_head |w| 4.643  cell_conv[-1] |w| 0.723  value head fresh |w| 0.591  ref frozen  kl_coef 0.3
[engine_ppo] GATE PRIOR ON coef 2.000 | C:\Users\benpe\ClashBot\icebow\config\gate_prior.json schema 1 (519 replays, 23620 plays, dt 0.6) | double from 120s, triple from 240s | single P(play) at 4 / 7 / 9 elixir = 0.0580 / 0.0426 / 0.2033
[upd    1] m=    2 dec=   1024 | win ep_r -0.952 (last50 -0.952) WLD 1/1/0 cum 1/1/0 len 191s | pl +0.0370 vl 0.6677 ent 0.272 cell_ent 3.704 kl_cell 0.1195 kl_card 0.0018 kl_term +0.0359 clip 0.238 vpred +1.609 ret +1.638 | last-epoch pl +0.0297 kl_cell 0.2368 kl_term +0.0710 | raw_p99 6.33 max 24.1 | p_play 0.099 | s/match 6.76 roll 18.8s (pol 3.0s) upd 7.8s warm_mb 8 cell_coef 0.0500 elapsed 0.4m | GATE p_gate 0.2157 p90 0.3815 frac_gt_tau 0.3208 (n 452) gp_ce 0.5050 gp_target 0.0784 gp_rows 0.441
[upd    2] m=    4 dec=   2048 | win ep_r -0.547 (last50 -0.750) WLD 1/1/0 cum 2/2/0 len 245s | pl +0.0179 vl 0.3488 ent 0.365 cell_ent 3.566 kl_cell 0.3547 kl_card 0.0249 kl_term +0.1064 clip 0.151 vpred +1.352 ret +1.246 | last-epoch pl +0.0141 kl_cell 0.5956 kl_term +0.1787 | raw_p99 8.93 max 29.2 | p_play 0.101 | s/match 12.82 roll 19.0s (pol 2.8s) upd 7.5s warm_mb 8 cell_coef 0.0499 elapsed 0.9m | GATE p_gate 0.1306 p90 0.2455 frac_gt_tau 0.0995 (n 744) gp_ce 0.3493 gp_target 0.0957 gp_rows 0.727
[upd    3] m=    7 dec=   3072 | win ep_r -6.577 (last50 -3.247) WLD 0/3/0 cum 2/5/0 len 173s | pl +0.0177 vl 0.7531 ent 0.276 cell_ent 3.067 kl_cell 0.6531 kl_card 0.0932 kl_term +0.1959 clip 0.119 vpred +0.953 ret +0.697 | last-epoch pl +0.0139 kl_cell 0.7843 kl_term +0.2353 | raw_p99 10.88 max 25.2 | p_play 0.064 | s/match 8.46 roll 18.2s (pol 2.7s) upd 7.1s warm_mb 8 cell_coef 0.0499 elapsed 1.3m | GATE p_gate 0.0831 p90 0.1695 frac_gt_tau 0.0193 (n 880) gp_ce 0.3752 gp_target 0.0975 gp_rows 0.859
[upd    4] m=   11 dec=   4096 | win ep_r -6.839 (last50 -4.553) WLD 0/4/0 cum 2/9/0 len 170s | pl +0.0140 vl 0.7882 ent 0.249 cell_ent 2.258 kl_cell 0.9643 kl_card 0.1306 kl_term +0.2893 clip 0.047 vpred +0.223 ret -0.065 | last-epoch pl +0.0168 kl_cell 1.0094 kl_term +0.3028 | raw_p99 15.08 max 33.5 | p_play 0.054 | s/match 7.54 roll 17.9s (pol 2.8s) upd 7.0s warm_mb 8 cell_coef 0.0498 elapsed 1.7m | GATE p_gate 0.0591 p90 0.1319 frac_gt_tau 0.0041 (n 964) gp_ce 0.4435 gp_target 0.1338 gp_rows 0.941
[upd    5] m=   14 dec=   5120 | win ep_r -3.736 (last50 -4.378) WLD 1/2/0 cum 3/11/0 len 178s | pl +0.0412 vl 0.8429 ent 0.398 cell_ent 2.400 kl_cell 1.1162 kl_card 0.1545 kl_term +0.3349 clip 0.168 vpred -0.222 ret -0.224 | last-epoch pl +0.0379 kl_cell 1.1280 kl_term +0.3384 | raw_p99 13.99 max 32.4 | p_play 0.073 | s/match 8.75 roll 19.0s (pol 2.9s) upd 7.7s warm_mb 8 cell_coef 0.0498 elapsed 2.2m | GATE p_gate 0.0791 p90 0.1607 frac_gt_tau 0.0193 (n 982) gp_ce 0.3452 gp_target 0.0978 gp_rows 0.959
[upd    6] m=   19 dec=   6144 | win ep_r -8.505 (last50 -5.464) WLD 0/5/0 cum 3/16/0 len 109s | pl +0.0091 vl 1.1143 ent 0.197 cell_ent 2.497 kl_cell 1.1648 kl_card 0.2672 kl_term +0.3495 clip 0.048 vpred -0.929 ret -1.354 | last-epoch pl +0.0098 kl_cell 1.1957 kl_term +0.3587 | raw_p99 13.42 max 21.8 | p_play 0.054 | s/match 5.64 roll 20.4s (pol 3.1s) upd 7.1s warm_mb 8 cell_coef 0.0497 elapsed 2.6m | GATE p_gate 0.0563 p90 0.1126 frac_gt_tau 0.0000 (n 920) gp_ce 0.3156 gp_target 0.0882 gp_rows 0.898
[upd    7] m=   23 dec=   7168 | win ep_r -6.520 (last50 -5.648) WLD 0/4/0 cum 3/20/0 len 125s | pl +0.0244 vl 0.8568 ent 0.332 cell_ent 2.466 kl_cell 1.3994 kl_card 0.2192 kl_term +0.4198 clip 0.259 vpred -1.447 ret -1.329 | last-epoch pl +0.0208 kl_cell 1.4269 kl_term +0.4281 | raw_p99 15.62 max 20.8 | p_play 0.063 | s/match 6.10 roll 18.3s (pol 2.8s) upd 7.1s warm_mb 8 cell_coef 0.0497 elapsed 3.0m | GATE p_gate 0.0591 p90 0.1148 frac_gt_tau 0.0032 (n 951) gp_ce 0.3365 gp_target 0.0885 gp_rows 0.929
[upd    8] m=   26 dec=   8192 | win ep_r -7.746 (last50 -5.890) WLD 0/3/0 cum 3/23/0 len 137s | pl +0.0032 vl 0.6999 ent 0.232 cell_ent 2.368 kl_cell 0.8924 kl_card 0.3156 kl_term +0.2677 clip 0.043 vpred -1.530 ret -1.616 | last-epoch pl +0.0017 kl_cell 0.8395 kl_term +0.2519 | raw_p99 16.54 max 27.3 | p_play 0.053 | s/match 6.93 roll 18.0s (pol 2.8s) upd 7.1s warm_mb 4 cell_coef 0.0496 elapsed 3.5m | GATE p_gate 0.0526 p90 0.1028 frac_gt_tau 0.0000 (n 1013) gp_ce 0.3338 gp_target 0.0892 gp_rows 0.989
[upd    9] m=   29 dec=   9216 | win ep_r -2.561 (last50 -5.546) WLD 1/2/0 cum 4/25/0 len 189s | pl +0.0084 vl 0.7357 ent 0.298 cell_ent 2.721 kl_cell 0.8132 kl_card 0.3549 kl_term +0.2440 clip 0.056 vpred -1.893 ret -1.862 | last-epoch pl +0.0152 kl_cell 0.6099 kl_term +0.1830 | raw_p99 16.18 max 23.2 | p_play 0.060 | s/match 8.63 roll 17.8s (pol 2.7s) upd 7.3s warm_mb 0 cell_coef 0.0496 elapsed 3.9m | GATE p_gate 0.0559 p90 0.1073 frac_gt_tau 0.0010 (n 1001) gp_ce 0.3751 gp_target 0.1186 gp_rows 0.978
[upd   10] m=   32 dec=  10240 | win ep_r -1.818 (last50 -5.196) WLD 1/2/0 cum 5/27/0 len 193s | pl +0.0144 vl 0.4519 ent 0.344 cell_ent 3.433 kl_cell 0.3316 kl_card 0.2297 kl_term +0.0995 clip 0.069 vpred -1.584 ret -1.595 | last-epoch pl +0.0201 kl_cell 0.2008 kl_term +0.0602 | raw_p99 13.97 max 18.6 | p_play 0.068 | s/match 8.99 roll 17.5s (pol 2.6s) upd 7.2s warm_mb 0 cell_coef 0.0496 elapsed 4.3m | GATE p_gate 0.0779 p90 0.1622 frac_gt_tau 0.0174 (n 976) gp_ce 0.3661 gp_target 0.1140 gp_rows 0.953
[upd   11] m=   34 dec=  11264 | win ep_r -4.377 (last50 -5.148) WLD 0/2/0 cum 5/29/0 len 245s | pl +0.0205 vl 0.2974 ent 0.249 cell_ent 3.454 kl_cell 0.1487 kl_card 0.1433 kl_term +0.0446 clip 0.127 vpred -1.806 ret -1.761 | last-epoch pl +0.0250 kl_cell 0.1254 kl_term +0.0376 | raw_p99 9.64 max 24.7 | p_play 0.084 | s/match 15.53 roll 27.4s (pol 4.1s) upd 11.7s warm_mb 0 cell_coef 0.0495 elapsed 4.9m | GATE p_gate 0.0882 p90 0.1737 frac_gt_tau 0.0287 (n 940) gp_ce 0.4159 gp_target 0.1181 gp_rows 0.918
