path,bytes,class,action,reason
scratchpad/__pycache__/rollout_search.cpython-313.pyc,44039,DELETE,delete,old-pipeline dir __pycache__/
scratchpad/_an.py,1698,KEEP,keep,root instrument/config/report
scratchpad/_an2.py,3538,KEEP,keep,root instrument/config/report
scratchpad/_bb_74.md,6261,DELETE,delete,loose _* scratch (owner list)
scratchpad/_cal.sh,267,DELETE,delete,loose _* scratch (owner list)
scratchpad/_cm_prop.txt,683,DELETE,delete,loose _* scratch (owner list)
scratchpad/_cmp.py,729,KEEP,keep,root instrument/config/report
scratchpad/_commitmsg_L58a.txt,413,DELETE,delete,loose _* scratch (owner list)
scratchpad/_commitmsg_L58b.txt,1150,DELETE,delete,loose _* scratch (owner list)
scratchpad/_commitmsg_L59a.txt,1920,DELETE,delete,loose _* scratch (owner list)
scratchpad/_commitmsg_L59b.txt,281,DELETE,delete,loose _* scratch (owner list)
scratchpad/_commitmsg_rev2.txt,507,DELETE,delete,loose _* scratch (owner list)
scratchpad/_commitmsg_rev3.txt,270,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_045.sh,561,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_acc_icebow.sh,602,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_after045_hogeq.txt,400,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_after045_icebow.txt,588,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_after065_hogeq.txt,0,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_after065_icebow.txt,0,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_before2_hogeq.txt,327,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_before_hogeq.txt,0,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_before_icebow.txt,772,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_hogeq.sh,520,DELETE,delete,loose _* scratch (owner list)
scratchpad/_drills_wave.sh,644,DELETE,delete,loose _* scratch (owner list)
scratchpad/_h_wave.sh,1182,DELETE,delete,loose _* scratch (owner list)
scratchpad/_h_wave2.sh,999,DELETE,delete,loose _* scratch (owner list)
scratchpad/_handoff_5cs28.md,4109,DELETE,delete,loose _* scratch (owner list)
scratchpad/_hogeq_policy.pt,1935929,KEEP,keep,checkpoint: never delete weights
scratchpad/_ledger_add.md,16395,DELETE,delete,loose _* scratch (owner list)
scratchpad/_ledger_add2.md,17591,DELETE,delete,loose _* scratch (owner list)
scratchpad/_mine_half.md,32625,DELETE,delete,loose _* scratch (owner list)
scratchpad/_orig_half.md,30923,DELETE,delete,loose _* scratch (owner list)
scratchpad/_patch2.py,10708,KEEP,keep,root instrument/config/report
scratchpad/_radius_s7.md,13076,DELETE,delete,loose _* scratch (owner list)
scratchpad/_rs_policy.pt,1936305,KEEP,keep,checkpoint: never delete weights
scratchpad/_rs_prepatch.py,19349,KEEP,keep,root instrument/config/report
scratchpad/_serial.out,12,DELETE,delete,loose _* scratch (owner list)
scratchpad/_serial.sh,789,DELETE,delete,loose _* scratch (owner list)
scratchpad/_skill_26.md,1348,DELETE,delete,loose _* scratch (owner list)
scratchpad/_statsweep.txt,14297,DELETE,delete,loose _* scratch (owner list)
scratchpad/_suite_hogeq.txt,2652,DELETE,delete,loose _* scratch (owner list)
scratchpad/_suite_hogeq2.txt,2652,DELETE,delete,loose _* scratch (owner list)
scratchpad/_suite_icebow.txt,2652,DELETE,delete,loose _* scratch (owner list)
scratchpad/_suite_icebow2.txt,2652,DELETE,delete,loose _* scratch (owner list)
scratchpad/_sx_wave1.out,11,DELETE,delete,loose _* scratch (owner list)
scratchpad/_sx_wave1.sh,905,DELETE,delete,loose _* scratch (owner list)
scratchpad/_sx_wave2.out,11,DELETE,delete,loose _* scratch (owner list)
