hogeq: i=0 300 replays, i=1 207 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
blue  ice-spirit           2217    8.92  0.514  21.30  0.99 |   1640    8.83  0.515  21.28  0.99 | +0.001   0.1
blue  skeletons            2157    8.95  0.511  21.13  0.99 |   1553    8.91  0.513  21.01  0.99 | +0.002   0.1
blue  firecracker          2041    8.84  0.502  23.83  0.99 |   1539    8.78  0.509  24.03  1.00 | +0.008   0.5
blue  mighty-miner         1836    9.00  0.498  21.27  0.98 |   1347    8.86  0.503  21.63  0.98 | +0.005   0.3
blue  hog-rider            1725    9.37  0.472  17.68  0.98 |   1162    8.73  0.518  17.78  0.99 | +0.046   2.4
blue  the-log              1623    8.92  0.508  20.41  0.99 |   1276    9.10  0.494  20.23  1.00 | -0.014  -0.7
blue  tesla                1410    8.75  0.279  20.51  1.00 |   1084    9.11  0.224  20.71  1.00 | -0.055  -3.1
blue  earthquake            993    9.31  0.473  11.21  0.12 |    701    8.95  0.502  11.08  0.12 | +0.029   1.2
red   barbarian-barrel      523    8.81  0.514  12.76  0.01 |    370    9.10  0.503  13.05  0.00 | -0.012  -0.3
red   skeletons             499    8.95  0.501  11.08  0.02 |    318    9.88  0.447  10.88  0.01 | -0.054  -1.5
red   ice-spirit            289    9.27  0.481  10.48  0.01 |    127    8.89  0.551  11.31  0.02 | +0.070   1.3
red   the-log               271    9.22  0.476  12.12  0.01 |    137    9.38  0.453  12.77  0.01 | -0.023  -0.4
red   tornado               233    9.21  0.451  12.78  0.33 |    145    8.75  0.566  12.57  0.36 | +0.115   2.2
red   fireball              225    9.28  0.449  22.51  0.92 |    160    8.94  0.500  22.37  0.93 | +0.051   1.0
red   zap                   219    8.70  0.516  19.15  0.74 |    126    8.29  0.579  19.85  0.80 | +0.063   1.1
red   electro-spirit        217    8.47  0.581  11.01  0.00 |    216    9.56  0.458  10.97  0.01 | -0.122  -2.5
red   royal-ghost           215    8.57  0.544   9.61  0.01 |    128    8.61  0.578  10.53  0.02 | +0.034   0.6
red   knight                209   10.25  0.435  11.04  0.01 |     93    9.03  0.505  11.35  0.01 | +0.070   1.1
red   berserker             206    9.81  0.447  10.42  0.01 |    112    7.41  0.643  11.80  0.04 | +0.196   3.3
red   cannon                200    9.07  0.500  11.66  0.00 |     74    9.20  0.541  11.66  0.00 | +0.041   0.6
red   elite-barbarians      198   10.20  0.414  11.16  0.03 |    144    8.15  0.556  10.77  0.01 | +0.141   2.6
red   arrows                196    9.31  0.485  22.21  0.94 |    194    8.41  0.557  21.73  0.92 | +0.072   1.4
red   hog-rider             190    9.00  0.516  13.99  0.01 |    132   10.77  0.402  13.41  0.01 | -0.114  -2.0
red   baby-dragon           182    8.95  0.484   9.23  0.01 |     95    6.75  0.621   8.44  0.00 | +0.138   2.2
red   battle-ram            165    9.64  0.473  11.32  0.01 |     95    8.41  0.558  12.57  0.01 | +0.085   1.3
red   dart-goblin           139    9.14  0.482   8.56  0.00 |     82    8.22  0.524   8.70  0.00 | +0.042   0.6
red   skeleton-barrel       139    8.55  0.525  13.89  0.01 |     84    7.49  0.583  13.35  0.00 | +0.058   0.8
red   valkyrie              129    8.19  0.581  10.83  0.02 |    103    9.54  0.408  10.63  0.01 | -0.174  -2.6
red   zappies               126    9.40  0.429   9.23  0.02 |     92    9.69  0.435   7.94  0.01 | +0.006   0.1
red   balloon               125    9.45  0.472  13.32  0.02 |     92    8.78  0.522  13.54  0.03 | +0.050   0.7
red   skeleton-army         122    8.93  0.475  11.71  0.05 |     76    7.33  0.645  12.44  0.04 | +0.169   2.3
red   ice-golem             121    8.76  0.521  12.57  0.01 |     75    9.14  0.440  12.73  0.01 | -0.081  -1.1
red   vines                 119    8.36  0.521  22.08  0.91 |     96    9.27  0.448  21.81  0.89 | -0.073  -1.1
red   giant-snowball        118    8.42  0.542  15.35  0.45 |     67    8.02  0.567  16.01  0.49 | +0.025   0.3
red   inferno-dragon        116    8.74  0.517   7.90  0.02 |     96    8.88  0.479   8.08  0.03 | -0.038  -0.6
red   miner                 116   10.15  0.397  24.09  0.95 |     59    9.19  0.441  22.70  0.85 | +0.044   0.6
red   furnace               114    8.42  0.553   5.61  0.00 |     81    9.82  0.457   4.54  0.00 | -0.096  -1.3
red   electro-wizard        114    9.32  0.474  12.03  0.02 |     79    9.08  0.532  11.20  0.03 | +0.058   0.8
red   mini-pekka            110    9.41  0.455  11.40  0.05 |     74    9.01  0.541  11.38  0.00 | +0.086   1.1
red   mortar                108    8.46  0.620  12.23  0.00 |    126    8.88  0.524  12.17  0.00 | -0.097  -1.5
red   goblin-barrel         108    8.70  0.537  25.77  0.99 |     70    9.84  0.429  25.47  0.99 | -0.108  -1.4
red   tombstone             108    8.95  0.556  10.33  0.01 |     70    9.51  0.429  11.31  0.00 | -0.127  -1.7
red   princess              106    7.95  0.585   8.78  0.00 |     57    9.34  0.439   8.06  0.00 | -0.146  -1.8
red   mother-witch          105    8.92  0.514  10.53  0.01 |     83    8.80  0.554  10.98  0.01 | +0.040   0.5
red   goblinstein           104    7.84  0.644  10.36  0.00 |    100    8.95  0.520  10.43  0.00 | -0.124  -1.8
red   cannon-cart           101    8.64  0.604   8.76  0.02 |    114    9.06  0.526   8.40  0.00 | -0.078  -1.1
red   bandit                100    8.76  0.530   9.46  0.01 |     78    7.42  0.667   8.07  0.00 | +0.137   1.8
red   giant-skeleton        100    8.91  0.500   7.75  0.03 |     67    9.11  0.448   8.47  0.01 | -0.052  -0.7
red   tesla                  99    8.77  0.293  12.14  0.00 |     58    9.21  0.155  12.31  0.00 | -0.138  -1.9
red   ice-wizard             98   10.00  0.459   8.95  0.00 |     65    9.10  0.508   9.24  0.00 | +0.049   0.6
red   poison                 98    7.54  0.612  23.37  0.97 |     52    9.13  0.481  22.62  1.00 | -0.131  -1.5
red   bomb-tower             94    8.71  0.628  10.96  0.01 |     64    9.55  0.375  10.72  0.00 | -0.253  -3.1
red   bomber                 94    9.48  0.553   9.07  0.07 |     59    9.30  0.542   8.89  0.03 | -0.011  -0.1
red   bowler                 92   10.55  0.337   7.09  0.00 |     96    8.34  0.594   6.54  0.00 | +0.257   3.5
red   musketeer              91    8.99  0.560   6.87  0.01 |     76    8.50  0.487   6.51  0.00 | -0.074  -0.9
red   lightning              90    8.58  0.544  21.93  0.94 |     72    7.92  0.597  21.32  0.92 | +0.053   0.7
red   dark-prince            88    9.02  0.523   8.35  0.05 |     58    7.72  0.603   7.09  0.00 | +0.081   1.0
red   firecracker            88    9.53  0.455   9.24  0.01 |     71   10.12  0.380  10.05  0.00 | -0.074  -0.9
red   graveyard              88   11.03  0.364  25.85  1.00 |     56   10.55  0.393  25.88  1.00 | +0.029   0.4
red   golden-knight          85   10.19  0.365  11.61  0.07 |     64   11.20  0.250  11.89  0.02 | -0.115  -1.5
red   goblin-gang            82   10.37  0.354  10.80  0.01 |     91    8.78  0.527  10.51  0.00 | +0.174   2.3
red   minions                79    8.69  0.494  10.47  0.04 |     55    9.35  0.491  11.25  0.09 | -0.003  -0.0
red   archers                78    8.74  0.615   6.09  0.00 |     81    9.06  0.568   7.46  0.00 | -0.047  -0.6
red   goblin-drill           76    4.61  0.842  22.64  0.91 |     41    7.88  0.512  21.44  0.80 | -0.330  -3.8
