hogeq: i=0 300 replays, i=1 274 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
blue  ice-spirit           2217    8.92  0.514  21.30  0.99 |   2178    8.90  0.514  21.41  0.99 | +0.000   0.0
blue  skeletons            2157    8.95  0.511  21.13  0.99 |   2090    8.88  0.517  21.02  1.00 | +0.006   0.4
blue  firecracker          2041    8.84  0.502  23.83  0.99 |   2005    8.90  0.499  24.03  1.00 | -0.003  -0.2
blue  mighty-miner         1836    9.00  0.498  21.27  0.98 |   1798    8.92  0.507  21.59  0.99 | +0.009   0.5
blue  hog-rider            1725    9.37  0.472  17.68  0.98 |   1556    9.15  0.488  17.74  0.99 | +0.016   0.9
blue  the-log              1623    8.92  0.508  20.41  0.99 |   1660    9.09  0.496  20.22  1.00 | -0.011  -0.6
blue  tesla                1410    8.75  0.279  20.51  1.00 |   1431    9.00  0.237  20.79  1.00 | -0.043  -2.6
blue  earthquake            993    9.31  0.473  11.21  0.12 |    918    9.09  0.488  11.23  0.13 | +0.015   0.6
red   barbarian-barrel      523    8.81  0.514  12.76  0.01 |    483    9.05  0.509  12.89  0.00 | -0.005  -0.2
red   skeletons             499    8.95  0.501  11.08  0.02 |    442    9.93  0.434  10.58  0.01 | -0.067  -2.0
red   ice-spirit            289    9.27  0.481  10.48  0.01 |    158    9.30  0.500  11.37  0.02 | +0.019   0.4
red   the-log               271    9.22  0.476  12.12  0.01 |    193    9.83  0.409  12.65  0.01 | -0.067  -1.4
red   tornado               233    9.21  0.451  12.78  0.33 |    202    8.79  0.540  12.36  0.34 | +0.089   1.9
red   fireball              225    9.28  0.449  22.51  0.92 |    213    8.86  0.502  22.18  0.91 | +0.053   1.1
red   zap                   219    8.70  0.516  19.15  0.74 |    176    8.70  0.523  19.57  0.78 | +0.007   0.1
red   electro-spirit        217    8.47  0.581  11.01  0.00 |    248    9.85  0.427  10.93  0.01 | -0.153  -3.3
red   royal-ghost           215    8.57  0.544   9.61  0.01 |    211    8.96  0.526   9.70  0.01 | -0.018  -0.4
red   knight                209   10.25  0.435  11.04  0.01 |    141    8.96  0.525  11.32  0.01 | +0.089   1.6
red   berserker             206    9.81  0.447  10.42  0.01 |    144    7.63  0.632  11.58  0.04 | +0.185   3.4
red   cannon                200    9.07  0.500  11.66  0.00 |    105    9.71  0.467  11.71  0.00 | -0.033  -0.6
red   elite-barbarians      198   10.20  0.414  11.16  0.03 |    210    8.21  0.548  10.72  0.01 | +0.133   2.7
red   arrows                196    9.31  0.485  22.21  0.94 |    261    8.51  0.556  21.57  0.91 | +0.071   1.5
red   hog-rider             190    9.00  0.516  13.99  0.01 |    177   10.26  0.429  13.35  0.01 | -0.086  -1.7
red   baby-dragon           182    8.95  0.484   9.23  0.01 |    127    6.34  0.685   8.38  0.00 | +0.202   3.5
red   battle-ram            165    9.64  0.473  11.32  0.01 |    148    8.34  0.561  12.09  0.01 | +0.088   1.6
red   dart-goblin           139    9.14  0.482   8.56  0.00 |     99    8.38  0.566   8.87  0.00 | +0.084   1.3
red   skeleton-barrel       139    8.55  0.525  13.89  0.01 |    103    6.99  0.621  13.37  0.00 | +0.096   1.5
red   valkyrie              129    8.19  0.581  10.83  0.02 |    134    9.39  0.448  10.36  0.01 | -0.134  -2.2
red   zappies               126    9.40  0.429   9.23  0.02 |    140    9.99  0.393   7.84  0.01 | -0.036  -0.6
