icebow: i=0 625 replays, i=1 561 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
blue  skeletons            4720    8.96  0.493  21.28  1.00 |   4149    8.91  0.514  21.48  1.00 | +0.021   2.0
blue  knight               4712    8.89  0.512  21.87  1.00 |   4158    8.71  0.526  21.90  0.99 | +0.015   1.4
blue  ice-wizard           4571    8.97  0.502  23.44  1.00 |   4021    8.90  0.511  23.51  1.00 | +0.008   0.8
blue  the-log              4145    8.97  0.501  19.74  1.00 |   3604    8.82  0.519  19.81  0.99 | +0.018   1.6
blue  tesla                4028    8.88  0.280  19.85  1.00 |   3587    8.94  0.275  19.94  1.00 | -0.005  -0.5
blue  x-bow                2552    8.99  0.505  20.39  0.99 |   2261    8.98  0.498  20.29  0.99 | -0.007  -0.5
blue  tornado              2317    8.86  0.516  16.73  0.55 |   2032    8.80  0.519  16.76  0.57 | +0.003   0.2
blue  rocket               1759    9.27  0.478  11.03  0.22 |   1562    8.89  0.514  10.97  0.21 | +0.036   2.1
red   skeletons            1235    9.08  0.489  10.22  0.00 |   1124    8.64  0.523  10.23  0.00 | +0.034   1.7
red   barbarian-barrel     1127    9.10  0.484  13.82  0.00 |   1110    8.72  0.540  13.74  0.00 | +0.055   2.6
red   the-log               680    8.79  0.519  14.37  0.01 |    480    9.32  0.469  14.28  0.00 | -0.050  -1.7
red   electro-spirit        675    8.79  0.510  10.94  0.00 |    539    8.98  0.505  11.13  0.01 | -0.005  -0.2
red   hog-rider             638    8.42  0.541  13.58  0.00 |    533    9.07  0.501  13.52  0.00 | -0.040  -1.4
red   elite-barbarians      555    9.30  0.483  12.29  0.02 |    427    8.86  0.513  11.64  0.01 | +0.030   0.9
red   fireball              515    8.76  0.524  21.98  0.99 |    552    9.08  0.487  22.17  0.99 | -0.037  -1.2
red   ice-spirit            503    8.63  0.499  10.04  0.00 |    537    9.05  0.473  10.61  0.00 | -0.026  -0.8
red   berserker             487    9.06  0.499  10.57  0.01 |    372    9.04  0.503  10.80  0.01 | +0.004   0.1
red   ice-golem             485    8.89  0.499  12.20  0.00 |    367    8.94  0.501  11.82  0.00 | +0.002   0.1
red   royal-ghost           485    8.51  0.515  10.35  0.00 |    484    8.32  0.537  10.64  0.00 | +0.022   0.7
red   zap                   465    8.86  0.508  21.32  0.98 |    378    9.23  0.458  21.49  0.97 | -0.050  -1.4
red   knight                452    8.84  0.546  10.56  0.00 |    418    8.58  0.565  10.77  0.01 | +0.018   0.5
red   musketeer             396    8.75  0.492   9.12  0.00 |    294    9.13  0.463   9.15  0.00 | -0.030  -0.8
red   battle-ram            382    9.11  0.490  11.03  0.00 |    404    9.27  0.495  10.77  0.00 | +0.006   0.2
red   baby-dragon           352    8.99  0.486   9.82  0.00 |    383    8.85  0.533   9.78  0.01 | +0.047   1.3
red   skeleton-barrel       345    8.39  0.530  13.80  0.00 |    238    9.28  0.496  14.00  0.00 | -0.035  -0.8
