side card n0 y0 n1 y1 dy(rot-i0) left0 left1
blue ice-spirit          2217  21.30  2178  21.41  +0.11  0.514 0.514
blue skeletons           2157  21.13  2090  21.02  -0.11  0.511 0.517
blue firecracker         2041  23.83  2005  24.03  +0.20  0.502 0.499
blue mighty-miner        1836  21.27  1798  21.59  +0.32  0.498 0.507
blue hog-rider           1725  17.68  1556  17.74  +0.06  0.472 0.488
blue the-log             1623  20.41  1660  20.22  -0.19  0.508 0.496
blue tesla               1410  20.51  1431  20.79  +0.28  0.279 0.237
blue earthquake           993  11.21   918  11.23  +0.02  0.473 0.488
red  barbarian-barrel     523  12.76   483  12.89  +0.13  0.514 0.509
red  skeletons            499  11.08   442  10.58  -0.50  0.501 0.434
red  ice-spirit           289  10.48   158  11.37  +0.89  0.481 0.500
red  the-log              271  12.12   193  12.65  +0.53  0.476 0.409
red  tornado              233  12.78   202  12.36  -0.42  0.451 0.540
red  fireball             225  22.51   213  22.18  -0.33  0.449 0.502
red  zap                  219  19.15   176  19.57  +0.42  0.516 0.523
red  electro-spirit       217  11.01   248  10.93  -0.08  0.581 0.427
cards 97 dy median -0.150 mean -0.169 weighted mean 0.008, |dy|>0.5: 41
