part-000000.parquet {'replays': 5000, 'icebow_replays': 41, 'icebow_sides': 41, 'kept': 41, 'kept_sides': 41}
part-000001.parquet {'replays': 10000, 'icebow_replays': 59, 'icebow_sides': 59, 'kept': 59, 'kept_sides': 59}
part-000002.parquet {'replays': 15000, 'icebow_replays': 62, 'icebow_sides': 62, 'kept': 62, 'kept_sides': 62}
part-000003.parquet {'replays': 20000, 'icebow_replays': 77, 'icebow_sides': 77, 'kept': 77, 'kept_sides': 77}
part-000004.parquet {'replays': 25000, 'icebow_replays': 82, 'icebow_sides': 82, 'kept': 82, 'kept_sides': 82}
part-000005.parquet {'replays': 30000, 'icebow_replays': 86, 'icebow_sides': 86, 'kept': 86, 'kept_sides': 86}
part-000006.parquet {'replays': 35000, 'icebow_replays': 92, 'icebow_sides': 92, 'kept': 92, 'kept_sides': 92}
part-000007.parquet {'replays': 40000, 'icebow_replays': 97, 'icebow_sides': 97, 'kept': 97, 'kept_sides': 97}
part-000008.parquet {'replays': 45000, 'icebow_replays': 103, 'icebow_sides': 103, 'kept': 103, 'kept_sides': 103}
part-000009.parquet {'replays': 50000, 'icebow_replays': 117, 'icebow_sides': 117, 'kept': 117, 'kept_sides': 117}
part-000010.parquet {'replays': 55000, 'icebow_replays': 125, 'icebow_sides': 125, 'kept': 125, 'kept_sides': 125}
part-000011.parquet {'replays': 60000, 'icebow_replays': 128, 'icebow_sides': 128, 'kept': 128, 'kept_sides': 128}
part-000012.parquet {'replays': 65000, 'icebow_replays': 133, 'icebow_sides': 133, 'kept': 133, 'kept_sides': 133}
part-000013.parquet {'replays': 70000, 'icebow_replays': 141, 'icebow_sides': 141, 'kept': 141, 'kept_sides': 141}
part-000014.parquet {'replays': 71970, 'icebow_replays': 143, 'icebow_sides': 143, 'kept': 143, 'kept_sides': 143}
part-000015.parquet {'replays': 76970, 'icebow_replays': 157, 'icebow_sides': 157, 'kept': 157, 'kept_sides': 157}
part-000016.parquet {'replays': 81970, 'icebow_replays': 238, 'icebow_sides': 238, 'kept': 238, 'kept_sides': 238}
part-000017.parquet {'replays': 86970, 'icebow_replays': 295, 'icebow_sides': 295, 'kept': 295, 'kept_sides': 295}
part-000018.parquet {'replays': 91970, 'icebow_replays': 298, 'icebow_sides': 298, 'kept': 298, 'kept_sides': 298}
part-000019.parquet {'replays': 96970, 'icebow_replays': 299, 'icebow_sides': 299, 'kept': 299, 'kept_sides': 299}
part-000020.parquet {'replays': 101970, 'icebow_replays': 305, 'icebow_sides': 305, 'kept': 305, 'kept_sides': 305}
part-000021.parquet {'replays': 106970, 'icebow_replays': 310, 'icebow_sides': 310, 'kept': 310, 'kept_sides': 310}
part-000022.parquet {'replays': 111970, 'icebow_replays': 316, 'icebow_sides': 316, 'kept': 316, 'kept_sides': 316}
part-000023.parquet {'replays': 116970, 'icebow_replays': 317, 'icebow_sides': 317, 'kept': 317, 'kept_sides': 317}
