batch: 198 tags, 0 already done, port 37032
[1/198] c7f1ea4cf12445d7938636c3eaf7b0ad acc 63/63 rej {} crowns [2, 0] exp [2, 0] match=True term=native_logic_clock_stopped tick 3681 (last play 3554) 5.89s
[2/198] c83f5b0235c74de3b659a07080b96e8f acc 53/53 rej {} crowns [1, 2] exp [1, 3] match=False term=native_tiebreak_hp_drain tick 6141 (last play 3463) 8.3s
[3/198] 7a6f3f44f1c44fb0bfd148622acb1fb3 acc 54/55 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4072) 6.49s
[4/198] 8173fd56625140649954b880c50464a4 acc 144/145 rej {'native_rejected': 1} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5998 (last play 5931) 10.82s
[5/198] 1f0a77cdabdb4d59a60d3f8b0ac753dd acc 117/121 rej {'native_rejected': 3, 'card_not_in_hand': 1} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5546 (last play 5723) 9.46s
[6/198] 8e1f49db25084e6485e411025ac45d4b acc 124/124 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5842 (last play 5731) 10.51s
[7/198] 132319aba1754ff380a3c16df3cb4a8c acc 65/68 rej {'native_rejected': 3} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 5881) 5.96s
[8/198] cf7d5e5728b04d029a583a9e98245360 acc 53/56 rej {'native_rejected': 3} crowns [3, 1] exp [0, 2] match=False term=native_logic_clock_stopped tick 3327 (last play 3451) 5.62s
[9/198] f1aef9b955f7489d8403080a286266aa acc 52/52 rej {} crowns [3, 1] exp [2, 1] match=False term=native_logic_clock_stopped tick 3686 (last play 4151) 5.74s
[10/198] 290f96ff6ebf48b3ab9d871febd69185 acc 138/138 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6121 (last play 5924) 11.02s
[11/198] 25b5cd8ea7aa46f688f80dc7c652fe5b acc 52/52 rej {} crowns [1, 0] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6119 (last play 3551) 8.07s
[12/198] 1ded6e4904bd4e2aa5460ee708ae9545 acc 55/55 rej {} crowns [2, 1] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6134 (last play 3576) 8.22s
[13/198] a2537b2a77c548cfbe74c57e7c3555fe acc 80/82 rej {'native_rejected': 2} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4726 (last play 5794) 7.59s
[14/198] a2ea1f403bb24ea695e4b8c760767dc0 acc 52/57 rej {'native_rejected': 4, 'card_not_in_hand': 1} crowns [1, 2] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 5417) 5.71s
[15/198] bfcf8a3805ea42169e258aed6cf09ece acc 55/55 rej {} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 3533) 5.91s
