  [base] 10/300  wr=40.0%  1.39 s/match
  [base] 20/300  wr=35.0%  1.40 s/match
  [base] 30/300  wr=30.0%  1.40 s/match
  [base] 40/300  wr=30.0%  1.42 s/match
  [base] 50/300  wr=28.0%  1.46 s/match
  [base] 60/300  wr=30.0%  1.46 s/match
  [base] 70/300  wr=32.9%  1.47 s/match
  [base] 80/300  wr=32.5%  1.49 s/match
  [base] 90/300  wr=32.2%  1.50 s/match
  [base] 100/300  wr=35.0%  1.51 s/match
  [base] 110/300  wr=35.5%  1.50 s/match
  [base] 120/300  wr=32.5%  1.50 s/match
  [base] 130/300  wr=33.1%  1.51 s/match
  [base] 140/300  wr=34.3%  1.50 s/match
  [base] 150/300  wr=34.0%  1.51 s/match
  [base] 160/300  wr=34.4%  1.52 s/match
  [base] 170/300  wr=34.1%  1.55 s/match
  [base] 180/300  wr=35.0%  1.55 s/match
  [base] 190/300  wr=34.7%  1.55 s/match
  [base] 200/300  wr=36.0%  1.55 s/match
  [base] 210/300  wr=35.7%  1.54 s/match
  [base] 220/300  wr=35.9%  1.54 s/match
  [base] 230/300  wr=36.1%  1.54 s/match
  [base] 240/300  wr=36.7%  1.54 s/match
  [base] 250/300  wr=36.8%  1.55 s/match
  [base] 260/300  wr=36.5%  1.55 s/match
  [base] 270/300  wr=37.0%  1.55 s/match
  [base] 280/300  wr=36.8%  1.56 s/match
  [base] 290/300  wr=36.6%  1.55 s/match
  [base] 300/300  wr=37.0%  1.56 s/match
[base] wr=37.0%  towerdelta=-0.9275  searched=0 disagree=0 wait->play=0 play->wait=0  wall=466.8s -> C:\Users\benpe\ClashBot\scratchpad\rs_base.json
