  [h12cr0] 10/300  wr=50.0%  3.07 s/match
  [h12cr0] 20/300  wr=55.0%  3.29 s/match
  [h12cr0] 30/300  wr=56.7%  3.30 s/match
  [h12cr0] 40/300  wr=57.5%  3.33 s/match
  [h12cr0] 50/300  wr=58.0%  3.29 s/match
  [h12cr0] 60/300  wr=60.0%  3.27 s/match
  [h12cr0] 70/300  wr=58.6%  3.33 s/match
  [h12cr0] 80/300  wr=61.2%  3.27 s/match
  [h12cr0] 90/300  wr=57.8%  3.29 s/match
  [h12cr0] 100/300  wr=58.0%  3.26 s/match
  [h12cr0] 110/300  wr=56.4%  3.28 s/match
  [h12cr0] 120/300  wr=55.8%  3.25 s/match
  [h12cr0] 130/300  wr=56.9%  3.23 s/match
  [h12cr0] 140/300  wr=57.9%  3.23 s/match
  [h12cr0] 150/300  wr=57.3%  3.29 s/match
  [h12cr0] 160/300  wr=58.1%  3.30 s/match
  [h12cr0] 170/300  wr=59.4%  3.29 s/match
  [h12cr0] 180/300  wr=60.6%  3.30 s/match
  [h12cr0] 190/300  wr=60.0%  3.30 s/match
  [h12cr0] 200/300  wr=59.5%  3.32 s/match
  [h12cr0] 210/300  wr=60.0%  3.31 s/match
  [h12cr0] 220/300  wr=60.0%  3.31 s/match
  [h12cr0] 230/300  wr=58.7%  3.31 s/match
  [h12cr0] 240/300  wr=58.8%  3.33 s/match
  [h12cr0] 250/300  wr=58.8%  3.33 s/match
  [h12cr0] 260/300  wr=58.1%  3.34 s/match
  [h12cr0] 270/300  wr=58.1%  3.33 s/match
  [h12cr0] 280/300  wr=57.9%  3.33 s/match
  [h12cr0] 290/300  wr=56.9%  3.33 s/match
  [h12cr0] 300/300  wr=57.0%  3.34 s/match
[h12cr0] wr=57.0%  towerdelta=-0.2229  searched=11106 disagree=4456 wait->play=3230 play->wait=1049  wall=1001.5s -> C:\Users\benpe\ClashBot\scratchpad\rs_h12cr0.json
