  [h12ro] 10/300  wr=60.0%  3.30 s/match
  [h12ro] 20/300  wr=45.0%  3.49 s/match
  [h12ro] 30/300  wr=50.0%  3.37 s/match
  [h12ro] 40/300  wr=52.5%  3.42 s/match
  [h12ro] 50/300  wr=54.0%  3.43 s/match
  [h12ro] 60/300  wr=56.7%  3.36 s/match
  [h12ro] 70/300  wr=55.7%  3.40 s/match
  [h12ro] 80/300  wr=56.2%  3.44 s/match
  [h12ro] 90/300  wr=55.6%  3.44 s/match
  [h12ro] 100/300  wr=57.0%  3.40 s/match
  [h12ro] 110/300  wr=57.3%  3.41 s/match
  [h12ro] 120/300  wr=55.0%  3.45 s/match
  [h12ro] 130/300  wr=56.2%  3.42 s/match
  [h12ro] 140/300  wr=56.4%  3.43 s/match
  [h12ro] 150/300  wr=56.7%  3.50 s/match
  [h12ro] 160/300  wr=56.2%  3.50 s/match
  [h12ro] 170/300  wr=56.5%  3.53 s/match
  [h12ro] 180/300  wr=56.7%  3.51 s/match
  [h12ro] 190/300  wr=56.3%  3.50 s/match
  [h12ro] 200/300  wr=56.0%  3.49 s/match
  [h12ro] 210/300  wr=56.7%  3.47 s/match
  [h12ro] 220/300  wr=56.8%  3.48 s/match
  [h12ro] 230/300  wr=56.5%  3.48 s/match
  [h12ro] 240/300  wr=56.2%  3.48 s/match
  [h12ro] 250/300  wr=56.8%  3.48 s/match
  [h12ro] 260/300  wr=56.2%  3.47 s/match
  [h12ro] 270/300  wr=55.9%  3.47 s/match
  [h12ro] 280/300  wr=56.4%  3.46 s/match
  [h12ro] 290/300  wr=56.9%  3.46 s/match
  [h12ro] 300/300  wr=57.3%  3.45 s/match
[h12ro] wr=57.3%  towerdelta=-0.2809  searched=11148 disagree=4560 wait->play=3377 play->wait=1026  wall=1035.7s -> C:\Users\benpe\ClashBot\scratchpad\rs_h12ro.json
