  [h40] 10/300  wr=70.0%  5.16 s/match
  [h40] 20/300  wr=55.0%  4.98 s/match
  [h40] 30/300  wr=46.7%  4.79 s/match
  [h40] 40/300  wr=47.5%  4.82 s/match
  [h40] 50/300  wr=50.0%  4.76 s/match
  [h40] 60/300  wr=51.7%  4.85 s/match
  [h40] 70/300  wr=55.7%  4.91 s/match
  [h40] 80/300  wr=56.2%  5.01 s/match
  [h40] 90/300  wr=56.7%  4.97 s/match
  [h40] 100/300  wr=59.0%  5.03 s/match
  [h40] 110/300  wr=60.9%  5.04 s/match
  [h40] 120/300  wr=58.3%  4.99 s/match
  [h40] 130/300  wr=58.5%  4.96 s/match
  [h40] 140/300  wr=58.6%  4.95 s/match
  [h40] 150/300  wr=57.3%  4.98 s/match
  [h40] 160/300  wr=56.9%  5.00 s/match
  [h40] 170/300  wr=57.1%  4.98 s/match
  [h40] 180/300  wr=57.2%  5.04 s/match
  [h40] 190/300  wr=57.4%  5.02 s/match
  [h40] 200/300  wr=57.5%  4.98 s/match
  [h40] 210/300  wr=57.1%  4.97 s/match
  [h40] 220/300  wr=57.7%  4.96 s/match
  [h40] 230/300  wr=56.5%  4.93 s/match
  [h40] 240/300  wr=55.8%  4.92 s/match
  [h40] 250/300  wr=55.6%  4.96 s/match
  [h40] 260/300  wr=54.6%  4.94 s/match
  [h40] 270/300  wr=54.1%  4.93 s/match
  [h40] 280/300  wr=53.9%  4.96 s/match
  [h40] 290/300  wr=52.8%  4.94 s/match
  [h40] 300/300  wr=53.3%  4.95 s/match
[h40] wr=53.3%  towerdelta=-0.3015  searched=10722 disagree=4316 wait->play=3035 play->wait=1107  wall=1486.4s -> C:\Users\benpe\ClashBot\scratchpad\rs_h40.json
