  [jitP] 10/300  wr=50.0%  5.45 s/match
  [jitP] 20/300  wr=40.0%  6.03 s/match
  [jitP] 30/300  wr=36.7%  5.97 s/match
  [jitP] 40/300  wr=40.0%  5.58 s/match
  [jitP] 50/300  wr=44.0%  5.79 s/match
  [jitP] 60/300  wr=46.7%  5.82 s/match
  [jitP] 70/300  wr=45.7%  5.70 s/match
  [jitP] 80/300  wr=45.0%  5.66 s/match
  [jitP] 90/300  wr=45.6%  5.57 s/match
  [jitP] 100/300  wr=47.0%  5.56 s/match
  [jitP] 110/300  wr=47.3%  5.55 s/match
  [jitP] 120/300  wr=44.2%  5.56 s/match
  [jitP] 130/300  wr=46.2%  5.57 s/match
  [jitP] 140/300  wr=45.0%  5.47 s/match
  [jitP] 150/300  wr=45.3%  5.46 s/match
  [jitP] 160/300  wr=46.2%  5.42 s/match
  [jitP] 170/300  wr=47.1%  5.37 s/match
  [jitP] 180/300  wr=48.9%  5.33 s/match
  [jitP] 190/300  wr=46.8%  5.27 s/match
  [jitP] 200/300  wr=46.5%  5.25 s/match
  [jitP] 210/300  wr=45.7%  5.24 s/match
  [jitP] 220/300  wr=45.5%  5.28 s/match
  [jitP] 230/300  wr=45.2%  5.22 s/match
  [jitP] 240/300  wr=44.6%  5.18 s/match
  [jitP] 250/300  wr=44.4%  5.14 s/match
  [jitP] 260/300  wr=43.8%  5.12 s/match
  [jitP] 270/300  wr=44.1%  5.12 s/match
  [jitP] 280/300  wr=43.9%  5.11 s/match
  [jitP] 290/300  wr=43.1%  5.07 s/match
  [jitP] 300/300  wr=42.7%  5.06 s/match
[jitP] wr=42.7%  towerdelta=-0.6581  searched=10528 disagree=3938 wait->play=2599 play->wait=1209  wall=1518.2s -> rs_jitP.json
