  [k2] 10/300  wr=70.0%  3.06 s/match
  [k2] 20/300  wr=55.0%  3.14 s/match
  [k2] 30/300  wr=63.3%  3.40 s/match
  [k2] 40/300  wr=67.5%  3.26 s/match
  [k2] 50/300  wr=66.0%  3.26 s/match
  [k2] 60/300  wr=66.7%  3.22 s/match
  [k2] 70/300  wr=68.6%  3.21 s/match
  [k2] 80/300  wr=68.8%  3.18 s/match
  [k2] 90/300  wr=63.3%  3.23 s/match
  [k2] 100/300  wr=64.0%  3.22 s/match
  [k2] 110/300  wr=64.5%  3.22 s/match
  [k2] 120/300  wr=61.7%  3.19 s/match
  [k2] 130/300  wr=62.3%  3.20 s/match
  [k2] 140/300  wr=60.7%  3.20 s/match
  [k2] 150/300  wr=60.0%  3.18 s/match
  [k2] 160/300  wr=60.0%  3.18 s/match
  [k2] 170/300  wr=60.0%  3.18 s/match
  [k2] 180/300  wr=61.1%  3.21 s/match
  [k2] 190/300  wr=60.5%  3.21 s/match
  [k2] 200/300  wr=60.0%  3.19 s/match
  [k2] 210/300  wr=61.4%  3.19 s/match
  [k2] 220/300  wr=61.4%  3.21 s/match
  [k2] 230/300  wr=60.4%  3.21 s/match
  [k2] 240/300  wr=60.0%  3.21 s/match
  [k2] 250/300  wr=60.8%  3.22 s/match
  [k2] 260/300  wr=60.8%  3.23 s/match
  [k2] 270/300  wr=60.4%  3.26 s/match
  [k2] 280/300  wr=60.4%  3.30 s/match
  [k2] 290/300  wr=60.7%  3.35 s/match
  [k2] 300/300  wr=60.0%  3.36 s/match
[k2] wr=60.0%  towerdelta=-0.2220  searched=10737 disagree=4286 wait->play=3144 play->wait=1014  wall=1007.5s -> rs_k2.json
