  [n10] 10/300  wr=40.0%  3.21 s/match
  [n10] 20/300  wr=35.0%  2.97 s/match
  [n10] 30/300  wr=26.7%  2.96 s/match
  [n10] 40/300  wr=30.0%  2.97 s/match
  [n10] 50/300  wr=34.0%  2.99 s/match
  [n10] 60/300  wr=38.3%  3.06 s/match
  [n10] 70/300  wr=41.4%  3.20 s/match
  [n10] 80/300  wr=42.5%  3.34 s/match
  [n10] 90/300  wr=43.3%  3.37 s/match
  [n10] 100/300  wr=46.0%  3.38 s/match
  [n10] 110/300  wr=48.2%  3.45 s/match
  [n10] 120/300  wr=48.3%  3.41 s/match
  [n10] 130/300  wr=50.0%  3.47 s/match
  [n10] 140/300  wr=50.0%  3.48 s/match
  [n10] 150/300  wr=49.3%  3.47 s/match
  [n10] 160/300  wr=50.6%  3.46 s/match
  [n10] 170/300  wr=51.2%  3.47 s/match
  [n10] 180/300  wr=52.2%  3.49 s/match
  [n10] 190/300  wr=51.6%  3.44 s/match
  [n10] 200/300  wr=51.5%  3.40 s/match
  [n10] 210/300  wr=51.4%  3.41 s/match
  [n10] 220/300  wr=50.5%  3.41 s/match
  [n10] 230/300  wr=49.6%  3.41 s/match
  [n10] 240/300  wr=49.6%  3.40 s/match
  [n10] 250/300  wr=50.0%  3.36 s/match
  [n10] 260/300  wr=49.2%  3.35 s/match
  [n10] 270/300  wr=49.3%  3.32 s/match
  [n10] 280/300  wr=48.6%  3.30 s/match
  [n10] 290/300  wr=47.6%  3.30 s/match
  [n10] 300/300  wr=48.0%  3.28 s/match
[n10] wr=48.0%  towerdelta=-0.4764  searched=5889 disagree=2772 wait->play=2041 play->wait=584  wall=983.8s -> rs_n10.json
