  [phL] 10/300  wr=60.0%  2.58 s/match
  [phL] 20/300  wr=55.0%  2.73 s/match
  [phL] 30/300  wr=56.7%  2.88 s/match
  [phL] 40/300  wr=55.0%  2.71 s/match
  [phL] 50/300  wr=56.0%  2.64 s/match
  [phL] 60/300  wr=55.0%  2.71 s/match
  [phL] 70/300  wr=55.7%  2.86 s/match
  [phL] 80/300  wr=53.8%  2.84 s/match
  [phL] 90/300  wr=53.3%  2.86 s/match
  [phL] 100/300  wr=56.0%  2.94 s/match
  [phL] 110/300  wr=57.3%  2.90 s/match
  [phL] 120/300  wr=55.8%  2.82 s/match
  [phL] 130/300  wr=56.2%  2.87 s/match
  [phL] 140/300  wr=55.0%  2.86 s/match
  [phL] 150/300  wr=54.0%  2.85 s/match
  [phL] 160/300  wr=53.8%  2.91 s/match
  [phL] 170/300  wr=53.5%  2.92 s/match
  [phL] 180/300  wr=52.8%  2.94 s/match
  [phL] 190/300  wr=51.6%  2.90 s/match
  [phL] 200/300  wr=51.0%  2.91 s/match
  [phL] 210/300  wr=50.5%  2.92 s/match
  [phL] 220/300  wr=50.9%  2.92 s/match
  [phL] 230/300  wr=50.4%  2.89 s/match
  [phL] 240/300  wr=50.4%  2.88 s/match
  [phL] 250/300  wr=50.4%  2.88 s/match
  [phL] 260/300  wr=50.4%  2.86 s/match
  [phL] 270/300  wr=50.7%  2.86 s/match
  [phL] 280/300  wr=50.4%  2.85 s/match
  [phL] 290/300  wr=49.3%  2.87 s/match
  [phL] 300/300  wr=49.7%  2.85 s/match
[phL] wr=49.7%  towerdelta=-0.5648  searched=3731 disagree=1775 wait->play=1149 play->wait=557  wall=853.9s -> rs_phL.json
