  [tau0.60] 10/300  wr=30.0%  2.17 s/match
  [tau0.60] 20/300  wr=25.0%  2.14 s/match
  [tau0.60] 30/300  wr=16.7%  2.10 s/match
  [tau0.60] 40/300  wr=17.5%  1.93 s/match
  [tau0.60] 50/300  wr=16.0%  1.87 s/match
  [tau0.60] 60/300  wr=15.0%  1.85 s/match
  [tau0.60] 70/300  wr=20.0%  1.84 s/match
  [tau0.60] 80/300  wr=20.0%  1.86 s/match
  [tau0.60] 90/300  wr=18.9%  1.83 s/match
  [tau0.60] 100/300  wr=20.0%  1.80 s/match
  [tau0.60] 110/300  wr=18.2%  1.78 s/match
  [tau0.60] 120/300  wr=16.7%  1.75 s/match
  [tau0.60] 130/300  wr=16.2%  1.74 s/match
  [tau0.60] 140/300  wr=15.0%  1.75 s/match
  [tau0.60] 150/300  wr=15.3%  1.73 s/match
  [tau0.60] 160/300  wr=15.6%  1.71 s/match
  [tau0.60] 170/300  wr=15.3%  1.70 s/match
  [tau0.60] 180/300  wr=16.7%  1.69 s/match
  [tau0.60] 190/300  wr=16.8%  1.68 s/match
  [tau0.60] 200/300  wr=17.0%  1.68 s/match
  [tau0.60] 210/300  wr=17.1%  1.68 s/match
  [tau0.60] 220/300  wr=17.7%  1.69 s/match
  [tau0.60] 230/300  wr=17.0%  1.69 s/match
  [tau0.60] 240/300  wr=16.2%  1.69 s/match
  [tau0.60] 250/300  wr=16.8%  1.68 s/match
  [tau0.60] 260/300  wr=16.9%  1.67 s/match
  [tau0.60] 270/300  wr=17.4%  1.68 s/match
  [tau0.60] 280/300  wr=17.9%  1.68 s/match
  [tau0.60] 290/300  wr=17.9%  1.67 s/match
  [tau0.60] 300/300  wr=18.0%  1.67 s/match
[tau0.60] wr=18.0%  towerdelta=-1.8561  searched=0 disagree=0 wait->play=0 play->wait=0  wall=501.7s -> C:\Users\benpe\ClashBot\scratchpad\rs_tau0.60.json
